first name,last name,image_href,gender,age,birthdate_x,birthdate_y,Zodiac Name,occupation,hometown,entered,left,status,spouses,children
Jessica,Hayes,https://static.wikia.nocookie.net/loveisland/images/a/ac/S1_Jessica_Hayes.jpg/revision/latest?cb=20200628152216,Female,31,"April 22, 1993",22-04-1993,Taurus,Model,"Oxford, England",Day 1,Day 41,Winner,Zeb (fiancé),"Presley (son, b. 2019)"
Max,Morley,https://static.wikia.nocookie.net/loveisland/images/e/ea/S1_Max_Morley.jpg/revision/latest?cb=20200628154739,Male,31,"January 24, 1993",24-01-1993,Aquarius,Professional cricketer,"Huddersfield, England",Day 14,Day 41,Winner,,
Hannah,Elizabeth,https://static.wikia.nocookie.net/loveisland/images/0/0b/All_Stars_Hannah_Elizabeth.jpg/revision/latest?cb=20240118211845,Female,34,"March 9, 1990",09-03-1990,Pisces,Model and Playboy bunny,"Liverpool, England",Day 1,Day 41,Runner-Up,,"Reggie (son, b. 2019)"
Jon,Clark,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Jon_Clark.jpg/revision/latest?cb=20190801162541,Male,34,"September 6, 1989",06-09-1989,Virgo,Builder,"Essex, England",Day 1,Day 41,Runner-Up,,
Josh,Ritchie,https://static.wikia.nocookie.net/loveisland/images/1/1d/All_Stars_Josh_Ritchie.jpg/revision/latest?cb=20240120023203,Male,29,"May 21, 1994",21-05-1994,Gemini,Joiner,"Bolton, England",Day 1,Day 41,3rd Place,,
Lauren,Richardson,https://static.wikia.nocookie.net/loveisland/images/d/df/S1_Lauren_Richardson.jpg/revision/latest?cb=20190801162551,Female,35,"January 29, 1989",29-01-1989,Aquarius,Community sports officer (former)PE Teacher,"East London, England",Day 1,Day 41,3rd Place,,
Cally Jane,Beech,https://static.wikia.nocookie.net/loveisland/images/5/54/S1_Cally_Jane_Beech.jpg/revision/latest?cb=20200630095904,Female,32,"October 1, 1991",01-10-1991,Libra,Dental Nurse,"Kingston upon Hull, England",Day 21,Day 41,4th Place,DJ O'Neal (fiancé),"Vienna (daughter, b. 2017)"
Luis,Morrison,https://static.wikia.nocookie.net/loveisland/images/8/80/All_Stars_Luis_Morrison.jpg/revision/latest?cb=20240118211848,Male,29,"July 22, 1994",22-07-1994,Cancer,Football Player,"London, England",Day 1,Day 41,4th Place,,"Vienna (daughter, b. 2017)Romeo (son, b. 2022)"
Jordan,Ring,https://static.wikia.nocookie.net/loveisland/images/d/d4/S1_Jordan_Ring.jpg/revision/latest?cb=20190801162558,Male,40,"June 29, 1983",29-06-1983,Cancer,Hotel Groundsman,"Gloucester, England",Day 1,Day 35,Dumped,,
Zoe Basia,Brown,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Zoe_Basia_Brown.jpg/revision/latest?cb=20190801162559,Female,33,"November 26, 1990",26-11-1990,Sagittarius,Model,"South London, England",Day 1,Day 35,Dumped,,
Ben,Porter,https://static.wikia.nocookie.net/loveisland/images/1/1e/S1_Ben_Porter.jpg/revision/latest?cb=20200630092023,Male,32,"June 10, 1991",10-06-1991,Gemini,Junior Manager,"Wakefield, England",Day 32,Day 33,Dumped,,"Jaxon (son, b. 2019)"
Poppy,Farnan,https://static.wikia.nocookie.net/loveisland/images/c/ce/S1_Poppy_Farnan.jpg/revision/latest?cb=20200630100317,Female,30,"June 12, 1993",12-06-1993,Gemini,Online boutique owner,"Cheshire, England",Day 32,Day 33,Dumped,,
Naomi,Ball,https://static.wikia.nocookie.net/loveisland/images/8/86/S1_Naomi_Ball.jpg/revision/latest?cb=20200630100316,Female,32,"July 2, 1991",02-07-1991,Cancer,Operations manager,"East London, England",Day 7,Day 28,Dumped,,
Travis,Almond,https://static.wikia.nocookie.net/loveisland/images/2/2a/S1_Travis_Almond.jpg/revision/latest?cb=20200630092024,Male,31,"January 19, 1993",19-01-1993,Capricorn,"PT, Butler in the Buff and Bouncer","Essex, England",Day 21,Day 28,Dumped,,
Omar,Sultani,https://static.wikia.nocookie.net/loveisland/images/1/11/S1_Omar_Sultani.jpg/revision/latest?cb=20190801162553,Male,31,"November 15, 1992",15-11-1992,Scorpio,IT Recruiter,"Warwickshire, England",Day 1,Day 21,Dumped,,
Bethany,Rogers,https://static.wikia.nocookie.net/loveisland/images/8/82/S1_Bethany_Rogers.jpg/revision/latest?cb=20200630091257,Female,28,"December 20, 1995",20-12-1995,Sagittarius,,"Leeds, England",Day 14,Day 21,Dumped,,Heidi Rose (daughter)
Daisy,Muller,https://static.wikia.nocookie.net/loveisland/images/4/44/S1_Daisy_Muller.jpg/revision/latest?cb=20200630090323,Female,33,"November 14, 1990",14-11-1990,Scorpio,Model,"Birmingham, England",Day 7,Day 19,Dumped,,
Chris,Williamson,https://static.wikia.nocookie.net/loveisland/images/8/82/S1_Chris_Williamson.jpg/revision/latest?cb=20190801162555,Male,36,"November 28, 1987",28-11-1987,Sagittarius,Model and club promoter,"Newcastle, England",Day 1,Day 19,Dumped,,
Chris,Baxter,https://static.wikia.nocookie.net/loveisland/images/a/aa/S1_Chris_Baxter.jpg/revision/latest?cb=20200628155956,Male,29,"August 8, 1994",08-08-1994,Leo,Personal Trainer,"London, England",Day 11,Day 14,Dumped,,
Danielle,Pyne,https://static.wikia.nocookie.net/loveisland/images/b/ba/S1_Danielle_Pyne.jpg/revision/latest?cb=20190801162550,Female,32,"September 10, 1991",10-09-1991,Virgo,West End Marketing Executive,"London, England",Day 1,Day 14,Dumped,,
Rachel,Christie,https://static.wikia.nocookie.net/loveisland/images/9/9e/S1_Rachel_Christie.jpg/revision/latest?cb=20190801162554,Female,35,"July 24, 1988",24-07-1988,Leo,Former athlete and model,"London, England",Day 1,Day 11,Dumped,,
John,Alberti,https://static.wikia.nocookie.net/loveisland/images/9/9c/S1_Tony_and_John_Alberti.jpg/revision/latest?cb=20200628155424,Male,37,"May 6, 1986",06-05-1986,Taurus,Property developer,"Manchester, England",Day 3,Day 6,Dumped,,
Tony,Alberti,https://static.wikia.nocookie.net/loveisland/images/9/9c/S1_Tony_and_John_Alberti.jpg/revision/latest?cb=20200628155424,Male,37,"May 6, 1986",06-05-1986,Taurus,Property developer,"Manchester, England",Day 3,Day 6,Dumped,,
Cara De La,Hoyde-Massey,https://static.wikia.nocookie.net/loveisland/images/c/c7/S2_Cara_De_La_Hoyde.jpg/revision/latest?cb=20200129233836,Female,33,"July 10, 1990",10-07-1990,Cancer,International Circus performer,"Kent, England",Day 1,Day 45,Winner,"Nathan Massey (husband, m. 2019)","Freddie-George (son, b. 2017)Delilah (daughter, b. 2020)"
Nathan,Massey,https://static.wikia.nocookie.net/loveisland/images/7/77/S2_Nathan_Massey.jpg/revision/latest?cb=20200129233837,Male,31,"June 27, 1992",27-06-1992,Cancer,Carpenter,"Essex, England",Day 1,Day 45,Winner,"Cara De La Hoyde (wife, m. 2019)","Freddie-George (son, b. 2017)Delilah (b. 2020)"
Alex,Bowen,https://static.wikia.nocookie.net/loveisland/images/1/17/S2_Alex_Bowen.png/revision/latest?cb=20200701211520,Male,32,"July 23, 1991",23-07-1991,Leo,Scaffolder,"Birmingham, England",Day 18,Day 45,Runner-Up,"Olivia Buckland (wife, m. 2018)","Abel (son, b. 2022)"
Olivia,Bowen,https://static.wikia.nocookie.net/loveisland/images/9/98/S2_Olivia_Buckland.jpg/revision/latest?cb=20200129233837,Female,30,"January 3, 1994",03-01-1994,Capricorn,Sales Executive,"Essex, England",Day 1,Day 45,Runner-Up,"Alex Bowen (husband, m. 2018)","Abel (son, b. 2022)"
Kady,McDermott,https://static.wikia.nocookie.net/loveisland/images/0/0f/S10_Kady_McDermott.jpg/revision/latest?cb=20230626083806,Female,28,"September 4, 1995",04-09-1995,Virgo,Makeup Artist,"Stevenage, England",Day 3,Day 45,3rd Place,,
Kady,McDermott,https://static.wikia.nocookie.net/loveisland/images/0/0f/S10_Kady_McDermott.jpg/revision/latest?cb=20230626083806,Female,28,"September 4, 1995",04-09-1995,Virgo,Makeup Artist,"Stevenage, England",Day 3,Day 45,3rd Place,,
Scott,Thomas,https://static.wikia.nocookie.net/loveisland/images/c/c2/S2_Scott_Thomas.jpg/revision/latest?cb=20200129233837,Male,35,"August 11, 1988",11-08-1988,Leo,Club promoter,"Manchester, England",Day 1,Day 45,3rd Place,,
Adam,Maxted,https://static.wikia.nocookie.net/loveisland/images/3/34/All_Stars_Adam_Maxted.jpg/revision/latest?cb=20240212214423,Male,32,"March 27, 1992",27-03-1992,Aries,Personal Trainer,"Belfast, Northern Ireland",Day 11,Day 45,4th Place,,
Katie,Salmon,https://static.wikia.nocookie.net/loveisland/images/9/9b/S2_Katie_Salmon.jpg/revision/latest?cb=20200709122355,Female,28,"November 24, 1995",24-11-1995,Sagittarius,Model,"Liverpool, England",Day 34,Day 45,4th Place,,"Thaiga Dean (daughter, b. 2022)"
Emma Jane,Woodham,https://static.wikia.nocookie.net/loveisland/images/f/f7/S2_Emma_Jane_Woodham.jpg/revision/latest?cb=20200709122354,Female,27,"November 30, 1996",30-11-1996,Sagittarius,Trainee Project Manager,"Oxford, England",Day 27,Day 41,Dumped,,"Alfie (son, b. 2018)"
Terry,Walsh,https://static.wikia.nocookie.net/loveisland/images/f/f3/S2_Terry_Walsh.jpg/revision/latest?cb=20200709122356,Male,35,"July 4, 1988",04-07-1988,Cancer,Carpenter,"Surrey, England",Day 3,Day 41,Dumped,,
Adam,Jukes,https://static.wikia.nocookie.net/loveisland/images/a/a3/S2_Adam_Jukes.jpg/revision/latest?cb=20200709122351,Male,31,"July 11, 1992",11-07-1992,Cancer,Recruitment Consultant,"Manchester, England",Day 34,Day 41,Dumped,,
Lauren,Whiteside,https://static.wikia.nocookie.net/loveisland/images/2/24/S2_Lauren_Whiteside.jpg/revision/latest?cb=20200709121603,Female,33,"July 6, 1990",06-07-1990,Cancer,Events Manager,"Blackpool, England",Day 37,Day 41,Dumped,,
Tina,Stinnes,https://static.wikia.nocookie.net/loveisland/images/2/2f/S2_Tina_Stinnes.jpg/revision/latest?cb=20200709115609,Female,29,"February 25, 1995",25-02-1995,Pisces,Student,"London, England",Day 20,Day 40,Dumped,,
Sophie,Gradon,https://static.wikia.nocookie.net/loveisland/images/f/ff/S2_Sophie_Gradon.jpg/revision/latest?cb=20200129233839,Female,,"October 25, 1985",25-10-1985,Scorpio,International Circus performer,"Kent, England",Day 1,Day 39,Walked,,
Troy,Frith,https://static.wikia.nocookie.net/loveisland/images/4/43/S2_Troy_Frith.jpg/revision/latest?cb=20200709115610,Male,30,"September 10, 1993",10-09-1993,Virgo,Salesman,"Kent, England",Day 30,Day 37,Dumped,,
Tom,Powell,https://static.wikia.nocookie.net/loveisland/images/8/87/S2_Tom_Powell.jpg/revision/latest?cb=20200129233837,Male,32,"December 26, 1991",26-12-1991,Capricorn,Barman and fitness instructor,"Port Talbot, Wales",Day 1,Day 33,Dumped,,
Liana Isadora Van,Riel,https://static.wikia.nocookie.net/loveisland/images/8/81/S2_Liana_Isadora_Van_Riel.jpg/revision/latest?cb=20200709115608,Female,28,"August 9, 1995",09-08-1995,Leo,Stripper,"Exeter, England",Day 20,Day 33,Dumped,,
Oliver Maxwell,Fernandez,https://static.wikia.nocookie.net/loveisland/images/0/0b/S2_Oliver_Maxwell_Fernandez.jpg/revision/latest?cb=20200709113231,Male,,,,Capricorn,Model,"Hertfordshire, England",Day 30,Day 31,Dumped,,
Malin,Andersson,https://static.wikia.nocookie.net/loveisland/images/2/2e/S2_Malin_Andersson.jpg/revision/latest?cb=20200703183755,Female,31,"October 20, 1992",20-10-1992,Libra,Makeup Artist,"Bedfordshire, England",Day 1,Day 25,Dumped,,"Consy (daughter, b. 2018) †Xaya (daughter, b. 2022)"
Zara,Holland,https://static.wikia.nocookie.net/loveisland/images/4/4a/S2_Zara_Holland.jpg/revision/latest?cb=20200703183756,Female,28,"August 24, 1995",24-08-1995,Virgo,Former Miss GB,"Hull, England",Day 1,Day 22,Walked,,
James,Khan,https://static.wikia.nocookie.net/loveisland/images/c/c0/S2_James_Khan.jpg/revision/latest?cb=20200703183752,Male,27,"May 3, 1996",03-05-1996,Taurus,NewsAgent,"Teddington, England",Day 18,Day 20,Dumped,,
Rykard,Jenkins,https://static.wikia.nocookie.net/loveisland/images/9/9c/S2_Rykard_Jenkins.jpg/revision/latest?cb=20200703181448,Male,33,"March 10, 1991",10-03-1991,Pisces,Personal Trainer,"Kent, England",Day 1,Day 15,Walked,,
Daniel,Lukakis,https://static.wikia.nocookie.net/loveisland/images/5/53/S2_Daniel_Lukakis.jpg/revision/latest?cb=20200129233831,Male,31,"January 24, 1992",24-01-1992,Aquarius,Model,"London, England",Day 1,Day 15,Dumped,,
Rachel,Fenton,https://static.wikia.nocookie.net/loveisland/images/9/97/S2_Rachel_Fenton.jpg/revision/latest?cb=20200703181449,Female,31,"September 18, 1992",18-09-1992,Virgo,Nurse,"Hampshire, England",Day 7,Day 15,Dumped,,
Malia,Arkian,https://static.wikia.nocookie.net/loveisland/images/0/07/S2_Malia_Arkian.jpg/revision/latest?cb=20200701210735,Female,34,"June 24, 1989",24-06-1989,Cancer,Singer,"Wilmslow, England",Day 7,Day 7,Removed,,"Halo (daughter, b. 2019)"
Javi,Shephard,https://static.wikia.nocookie.net/loveisland/images/4/42/S2_Javi_Shephard.jpg/revision/latest?cb=20200129233837,Male,34,"May 12, 1989",12-05-1989,Taurus,Surveyor,"York, England",Day 1,Day 6,Dumped,,
Amber,Davies,https://static.wikia.nocookie.net/loveisland/images/c/cb/S3_Amber_Davies.jpg/revision/latest?cb=20191018161810,Female,27,"October 4, 1996",04-10-1996,Libra,Dancer,"North Wales, Wales",Day 1,Day 52,Winner,,
Kem,Cetinay,https://static.wikia.nocookie.net/loveisland/images/2/24/S3_Kem_Cetinay.jpg/revision/latest?cb=20191018191558,Male,28,"April 25, 1996",25-04-1996,Taurus,Hairdresser,"Essex, England",Day 1,Day 52,Winner,,
Camilla,Thurlow,https://static.wikia.nocookie.net/loveisland/images/9/9d/S3_Camilla_Thurlow.jpg/revision/latest?cb=20191018160906,Female,34,"July 9, 1989",09-07-1989,Cancer,Explosive Ordnance Disposal,"Dumfries, Scotland",Day 1,Day 52,Runner-Up,"Jamie Jewitt (husband, m. 2021)","Nell (daughter, b. 2020)Nora (daughter, b. 2022)unborn son (due 2024)"
Jamie,Jewitt,https://static.wikia.nocookie.net/loveisland/images/2/22/S3_Jamie_Jewitt.jpg/revision/latest?cb=20191018191543,Male,33,"May 6, 1990",06-05-1990,Taurus,,"Essex, England",Day 32,Day 52,Runner-Up,"Camilla Thurlow (wife, m. 2021)","Nell (daughter, b. 2020)Nora (daughter, b. 2022)unborn son (due 2024)"
Chris,Hughes,https://static.wikia.nocookie.net/loveisland/images/2/2d/S3_Chris_Hughes.jpg/revision/latest?cb=20200130022604,Male,31,"December 22, 1992",22-12-1992,Capricorn,Model,"Cheltenham, England",Day 4,Day 52,3rd Place,,
Olivia,Attwood,https://static.wikia.nocookie.net/loveisland/images/b/b9/S3_Olivia_Attwood.jpg/revision/latest?cb=20200130022754,Female,32,"May 2, 1991",02-05-1991,Taurus,Motorsport Grid Girl,"Surrey, England",Day 1,Day 52,3rd Place,"Bradley Dack (husband, m. 2023)",
Gabby,Allen,https://static.wikia.nocookie.net/loveisland/images/f/f3/S3_Gabby_Allen.jpg/revision/latest?cb=20191018155817,Female,32,"February 6, 1992",06-02-1992,Aquarius,Dancer,"Liverpool, England",Day 7,Day 52,4th Place,,
Marcel,Somerville,https://static.wikia.nocookie.net/loveisland/images/9/9e/S3_Marcel_Somerville.jpg/revision/latest?cb=20200130022731,Male,38,"January 7, 1986",07-01-1986,Capricorn,Singer,"London, England",Day 1,Day 52,4th Place,"Rebecca Vieira (wife, m. 2022)","Roman (son, b. 2021)"
Alex,Beattie,https://static.wikia.nocookie.net/loveisland/images/c/c9/S3_Alex_Beattie.jpg/revision/latest?cb=20200130022551,Male,29,"November 6, 1994",06-11-1994,Scorpio,Personal Trainer,"Newcastle, England",Day 26,Day 50,Dumped,,
Montana,Brown,https://static.wikia.nocookie.net/loveisland/images/4/49/S3_Montana_Brown.jpg/revision/latest?cb=20200130022753,Female,28,"August 29, 1995",29-08-1995,Virgo,Student,"Hertfordshire, England",Day 1,Day 50,Dumped,Mark O'Connor (fiancé),unborn child (due 2023)
Georgia,Harrison,https://static.wikia.nocookie.net/loveisland/images/2/22/All_Stars_Georgia_Harrison.jpg/revision/latest?cb=20240118211843,Female,29,"December 12, 1994",12-12-1994,Sagittarius,PA,"Essex, England",Day 34,Day 46,Dumped,,
Sam,Gowland,https://static.wikia.nocookie.net/loveisland/images/3/34/S3_Sam_Gowland.jpg/revision/latest?cb=20200130022806,Male,28,"August 2, 1995",02-08-1995,Leo,Oil Rig Worker,"Middlesbrough, England",Day 1Day 39 (re-entered),Day 23Day 46 (re-dumped),Dumped,,
Mike,Thalassitis,https://static.wikia.nocookie.net/loveisland/images/7/70/S3_Mike_Thalassitis.jpg/revision/latest?cb=20191018195615,Male,,"January 19, 1993",19-01-1993,Capricorn,Football Player,"North London, England",Day 12Day 39 (Re-entered),Day 17Day 44 (Re-dumped),Dumped,,
Tyla,Carr,https://static.wikia.nocookie.net/loveisland/images/a/a9/S3_Tyla_Carr.jpg/revision/latest?cb=20191018201819,Female,31,"January 29, 1993",29-01-1993,Aquarius,Model,"Surrey, England",Day 19,Day 44,Dumped,,"Archie (son, b. 2018)"
Theo,Campbell,https://static.wikia.nocookie.net/loveisland/images/d/df/S3_Theo_Campbell.jpg/revision/latest?cb=20200130022848,Male,32,"July 14, 1991",14-07-1991,Cancer,Athlete,"Bath, England",Day 32,Day 41,Dumped,,"Aries (son, b. 2021)"
Jonny,Mitchell,https://static.wikia.nocookie.net/loveisland/images/2/24/S3_Jonny_Mitchell.jpg/revision/latest?cb=20191018195612,Male,33,"February 21, 1991",21-02-1991,Pisces,Business director,"Essex, England",Day 4,Day 38,Dumped,,
Craig,Lawson,https://static.wikia.nocookie.net/loveisland/images/7/79/S3_Craig_Lawson.jpg/revision/latest?cb=20200630102239,Male,33,"July 31, 1990",31-07-1990,Leo,Personal Trainer,"London, England",Day 26,Day 31,Dumped,,three unnamed sons
Nathan,Joseph,https://static.wikia.nocookie.net/loveisland/images/6/68/S3_Nathan_Joseph.jpg/revision/latest?cb=20190807212124,Male,32,"February 1, 1992",01-02-1992,Aquarius,Salesman,"Essex, England",Day 26,Day 31,Dumped,,
Danielle,Sellers,https://static.wikia.nocookie.net/loveisland/images/8/8c/S3_Danielle_Sellers.jpg/revision/latest?cb=20190807212116,Female,28,"May 14, 1995",14-05-1995,Taurus,Model,"Hastings, England",Day 26,Day 31,Dumped,,
Chyna,Ellis,https://static.wikia.nocookie.net/loveisland/images/f/fa/S3_Chyna_Ellis.jpg/revision/latest?cb=20191018202540,Female,29,"August 24, 1994",24-08-1994,Virgo,Fashion Stylist,"Essex, England",Day 26,Day 31,Dumped,,
Amelia,Peters,https://static.wikia.nocookie.net/loveisland/images/7/7d/S3_Amelia_Peters.jpg/revision/latest?cb=20190807212111,Female,25,"November 8, 1998",08-11-1998,Scorpio,ModelTeaching assistant,"London, England",Day 26,Day 28,Dumped,,
Dominic,Lever,https://static.wikia.nocookie.net/loveisland/images/6/6f/S3_Dom_Lever.jpg/revision/latest?cb=20191018195610,Male,33,"January 24, 1991",24-01-1991,Aquarius,Careers Advisor,"Manchester, England",Day 1,Day 28,Dumped,"Jessica Shears (wife, m. 2018)",Presley (b. 2020)unnamed baby boy (b. 2022)
Ellisha-Jade,White,https://static.wikia.nocookie.net/loveisland/images/0/0d/S3_Ellisha-Jade_White.jpg/revision/latest?cb=20200130022706,Female,29,"July 31, 1994",31-07-1994,Leo,Entrepreneur and blogger,"Southampton, England",Day 26,Day 28,Dumped,,
Marino,Katsouris,https://static.wikia.nocookie.net/loveisland/images/f/f8/S3_Marino_Katsouris.jpg/revision/latest?cb=20190807212120,Male,29,"December 10, 1994",10-12-1994,Sagittarius,Personal Trainer,"Brighton, England",Day 26,Day 28,Dumped,,
Rob,Lipsett,https://static.wikia.nocookie.net/loveisland/images/6/6c/S3_Rob_Lipsett.jpg/revision/latest?cb=20200130022552,Male,32,"January 17, 1992",17-01-1992,Capricorn,Entrepreneur,"Dublin, Ireland",Day 26,Day 28,Dumped,,
Shannen,McGrath,https://static.wikia.nocookie.net/loveisland/images/2/26/S3_Shannen_McGrath.jpg/revision/latest?cb=20190807212129,Female,30,"January 5, 1994",05-01-1994,Capricorn,,"Dublin, Ireland",Day 26,Day 28,Dumped,,
Steve,Ball,https://static.wikia.nocookie.net/loveisland/images/7/7c/S3_Steve_Ball.jpg/revision/latest?cb=20190807212133,Male,,,,Capricorn,Plumber,"Wiltshire, England",Day 26,Day 28,Dumped,,
Simon,Searles,https://static.wikia.nocookie.net/loveisland/images/3/3d/S3_Simon_Searles.jpg/revision/latest?cb=20190807220944,Male,36,"March 15, 1988",15-03-1988,Pisces,Barber,"Leeds, England",Day 19,Day 25,Dumped,,
Chloë,Crowhurst,https://static.wikia.nocookie.net/loveisland/images/f/f6/S3_Chloe_Crowhurst.jpg/revision/latest?cb=20191018193537,Female,27,"December 17, 1996",17-12-1996,Sagittarius,Executive Assistant,"Essex, England",Day 1,Day 23,Dumped,,
