,name,image_href,gender,age,birthdate,occupation,hometown,spouses,children,entered,left,status
0,Jessica Hayes,https://static.wikia.nocookie.net/loveisland/images/a/ac/S1_Jessica_Hayes.jpg/revision/latest?cb=20200628152216,Female,31,"April 22, 1993",Glamour model,"Oxford, England",Zeb (fiancé),"Presley (son, b. 2019)",Day 1,Day 41,Winner
1,Max Morley,https://static.wikia.nocookie.net/loveisland/images/e/ea/S1_Max_Morley.jpg/revision/latest?cb=20200628154739,Male,31,"January 24, 1993",Professional cricketer,"Huddersfield, England",,,Day 14,Day 41,Winner
2,Hannah Elizabeth,https://static.wikia.nocookie.net/loveisland/images/0/0b/All_Stars_Hannah_Elizabeth.jpg/revision/latest?cb=20240118211845,Female,34,"March 9, 1990",Glamour model and Playboy bunny,"Liverpool, England",,"Reggie (son, b. 2019)",Day 1,Day 41,Runner-Up
3,Jon Clark,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Jon_Clark.jpg/revision/latest?cb=20190801162541,Male,34,"September 6, 1989",Builder,"Essex, England",,,Day 1,Day 41,Runner-Up
4,Josh Ritchie,https://static.wikia.nocookie.net/loveisland/images/1/1d/All_Stars_Josh_Ritchie.jpg/revision/latest?cb=20240120023203,Male,29,"May 21, 1994",Joiner,"Bolton, England",,,Day 1,Day 41,3rd Place
5,Lauren Richardson,https://static.wikia.nocookie.net/loveisland/images/d/df/S1_Lauren_Richardson.jpg/revision/latest?cb=20190801162551,Female,35,"January 29, 1989",Community sports officer (former)PE Teacher,"East London, England",,,Day 1,Day 41,3rd Place
6,Cally Jane Beech,https://static.wikia.nocookie.net/loveisland/images/5/54/S1_Cally_Jane_Beech.jpg/revision/latest?cb=20200630095904,Female,32,"October 1, 1991",Dental Nurse,"Kingston upon Hull, England",DJ O'Neal (fiancé),"Vienna (daughter, b. 2017)",Day 21,Day 41,4th Place
7,Luis Morrison,https://static.wikia.nocookie.net/loveisland/images/8/80/All_Stars_Luis_Morrison.jpg/revision/latest?cb=20240118211848,Male,29,"July 22, 1994",Former professional footballer,"London, England",,"Vienna (daughter, b. 2017)Romeo (son, b. 2022)",Day 1,Day 41,4th Place
8,Jordan Ring,https://static.wikia.nocookie.net/loveisland/images/d/d4/S1_Jordan_Ring.jpg/revision/latest?cb=20190801162558,Male,40,"June 29, 1983",Hotel Groundsman,"Gloucester, England",,,Day 1,Day 35,Dumped
9,Zoe Basia Brown,https://static.wikia.nocookie.net/loveisland/images/6/6b/S1_Zoe_Basia_Brown.jpg/revision/latest?cb=20190801162559,Female,33,"November 26, 1990",High fashion model,"South London, England",,,Day 1,Day 35,Dumped
10,Ben Porter,https://static.wikia.nocookie.net/loveisland/images/1/1e/S1_Ben_Porter.jpg/revision/latest?cb=20200630092023,Male,32,"June 10, 1991",Junior Manager,"Wakefield, England",,"Jaxon (son, b. 2019)",Day 32,Day 33,Dumped
11,Poppy Farnan,https://static.wikia.nocookie.net/loveisland/images/c/ce/S1_Poppy_Farnan.jpg/revision/latest?cb=20200630100317,Female,30,"June 12, 1993",Online boutique owner,"Cheshire, England",,,Day 32,Day 33,Dumped
12,Naomi Ball,https://static.wikia.nocookie.net/loveisland/images/8/86/S1_Naomi_Ball.jpg/revision/latest?cb=20200630100316,Female,32,"July 2, 1991",Operations manager,"East London, England",,,Day 7,Day 28,Dumped
13,Travis Almond,https://static.wikia.nocookie.net/loveisland/images/2/2a/S1_Travis_Almond.jpg/revision/latest?cb=20200630092024,Male,31,"January 19, 1993","PT, Butler in the Buff and Bouncer","Essex, England",,,Day 21,Day 28,Dumped
14,Omar Sultani,https://static.wikia.nocookie.net/loveisland/images/1/11/S1_Omar_Sultani.jpg/revision/latest?cb=20190801162553,Male,31,"November 15, 1992",IT Recruiter,"Warwickshire, England",,,Day 1,Day 21,Dumped
15,Bethany Rogers,https://static.wikia.nocookie.net/loveisland/images/8/82/S1_Bethany_Rogers.jpg/revision/latest?cb=20200630091257,Female,28,"December 20, 1995",,"Leeds, England",,Heidi Rose (daughter),Day 14,Day 21,Dumped
16,Daisy Muller,https://static.wikia.nocookie.net/loveisland/images/4/44/S1_Daisy_Muller.jpg/revision/latest?cb=20200630090323,Female,33,"November 14, 1990",Glamour model,"Birmingham, England",,,Day 7,Day 19,Dumped
17,Chris Williamson,https://static.wikia.nocookie.net/loveisland/images/8/82/S1_Chris_Williamson.jpg/revision/latest?cb=20190801162555,Male,36,"November 28, 1987",Model and club promoter,"Newcastle, England",,,Day 1,Day 19,Dumped
18,Chris Baxter,https://static.wikia.nocookie.net/loveisland/images/a/aa/S1_Chris_Baxter.jpg/revision/latest?cb=20200628155956,Male,29,"August 8, 1994",Personal trainer,"London, England",,,Day 11,Day 14,Dumped
19,Danielle Pyne,https://static.wikia.nocookie.net/loveisland/images/b/ba/S1_Danielle_Pyne.jpg/revision/latest?cb=20190801162550,Female,32,"September 10, 1991",West End Marketing Executive,"London, England",,,Day 1,Day 14,Dumped
20,Rachel Christie,https://static.wikia.nocookie.net/loveisland/images/9/9e/S1_Rachel_Christie.jpg/revision/latest?cb=20190801162554,Female,35,"July 24, 1988",Former athlete and model,"London, England",,,Day 1,Day 11,Dumped
21,John Alberti,https://static.wikia.nocookie.net/loveisland/images/9/9c/S1_Tony_and_John_Alberti.jpg/revision/latest?cb=20200628155424,Male,37,"May 6, 1986",Property developer,"Manchester, England",,,Day 3,Day 6,Dumped
22,Tony Alberti,https://static.wikia.nocookie.net/loveisland/images/9/9c/S1_Tony_and_John_Alberti.jpg/revision/latest?cb=20200628155424,Male,37,"May 6, 1986",Property developer,"Manchester, England",,,Day 3,Day 6,Dumped
23,Cara De La Hoyde-Massey,https://static.wikia.nocookie.net/loveisland/images/c/c7/S2_Cara_De_La_Hoyde.jpg/revision/latest?cb=20200129233836,Female,33,"July 10, 1990",International Circus performer,"Kent, England","Nathan Massey (husband, m. 2019)","Freddie-George (son, b. 2017)Delilah (daughter, b. 2020)",Day 1,Day 45,Winner
24,Nathan Massey,https://static.wikia.nocookie.net/loveisland/images/7/77/S2_Nathan_Massey.jpg/revision/latest?cb=20200129233837,Male,31,"June 27, 1992",Carpenter,"Essex, England","Cara De La Hoyde (wife, m. 2019)","Freddie-George (son, b. 2017)Delilah (b. 2020)",Day 1,Day 45,Winner
25,Alex Bowen,https://static.wikia.nocookie.net/loveisland/images/1/17/S2_Alex_Bowen.png/revision/latest?cb=20200701211520,Male,32,"July 23, 1991",Scaffolder,"Birmingham, England","Olivia Buckland (wife, m. 2018)","Abel (son, b. 2022)",Day 18,Day 45,Runner-Up
26,Olivia Bowen,https://static.wikia.nocookie.net/loveisland/images/9/98/S2_Olivia_Buckland.jpg/revision/latest?cb=20200129233837,Female,30,"January 3, 1994",Sales Executive,"Essex, England","Alex Bowen (husband, m. 2018)","Abel (son, b. 2022)",Day 1,Day 45,Runner-Up
27,Kady McDermott,https://static.wikia.nocookie.net/loveisland/images/0/0f/S10_Kady_McDermott.jpg/revision/latest?cb=20230626083806,Female,28,"September 4, 1995",Make-up Artist,"Stevenage, England",,,Day 3,Day 45,3rd Place
28,Scott Thomas,https://static.wikia.nocookie.net/loveisland/images/c/c2/S2_Scott_Thomas.jpg/revision/latest?cb=20200129233837,Male,35,"August 11, 1988",Club promoter,"Manchester, England",,,Day 1,Day 45,3rd Place
29,Adam Maxted,https://static.wikia.nocookie.net/loveisland/images/3/34/All_Stars_Adam_Maxted.jpg/revision/latest?cb=20240212214423,Male,32,"March 27, 1992",Personal Trainer,"Belfast, Northern Ireland",,,Day 11,Day 45,4th Place
30,Katie Salmon,https://static.wikia.nocookie.net/loveisland/images/9/9b/S2_Katie_Salmon.jpg/revision/latest?cb=20200709122355,Female,28,"November 24, 1995",Glamour Model,"Liverpool, England",,"Thaiga Dean (daughter, b. 2022)",Day 34,Day 45,4th Place
31,Emma Jane Woodham,https://static.wikia.nocookie.net/loveisland/images/f/f7/S2_Emma_Jane_Woodham.jpg/revision/latest?cb=20200709122354,Female,27,"November 30, 1996",Trainee Project Manager,"Oxford, England",,"Alfie (son, b. 2018)",Day 27,Day 41,Dumped
32,Terry Walsh,https://static.wikia.nocookie.net/loveisland/images/f/f3/S2_Terry_Walsh.jpg/revision/latest?cb=20200709122356,Male,35,"July 4, 1988",Carpenter,"Surrey, England",,,Day 3,Day 41,Dumped
33,Adam Jukes,https://static.wikia.nocookie.net/loveisland/images/a/a3/S2_Adam_Jukes.jpg/revision/latest?cb=20200709122351,Male,31,"July 11, 1992",Recruitment Consultant,"Manchester, England",,,Day 34,Day 41,Dumped
34,Lauren Whiteside,https://static.wikia.nocookie.net/loveisland/images/2/24/S2_Lauren_Whiteside.jpg/revision/latest?cb=20200709121603,Female,33,"July 6, 1990",Events Manager,"Blackpool, England",,,Day 37,Day 41,Dumped
35,Tina Stinnes,https://static.wikia.nocookie.net/loveisland/images/2/2f/S2_Tina_Stinnes.jpg/revision/latest?cb=20200709115609,Female,29,"February 25, 1995",Student,"London, England",,,Day 20,Day 40,Dumped
36,Sophie Gradon,https://static.wikia.nocookie.net/loveisland/images/f/ff/S2_Sophie_Gradon.jpg/revision/latest?cb=20200129233839,Female,,"October 25, 1985",International Circus performer,"Kent, England",,,Day 1,Day 39,Walked
37,Troy Frith,https://static.wikia.nocookie.net/loveisland/images/4/43/S2_Troy_Frith.jpg/revision/latest?cb=20200709115610,Male,30,"September 10, 1993",Salesman,"Kent, England",,,Day 30,Day 37,Dumped
38,Tom Powell,https://static.wikia.nocookie.net/loveisland/images/8/87/S2_Tom_Powell.jpg/revision/latest?cb=20200129233837,Male,32,"December 26, 1991",Barman and fitness instructor,"Port Talbot, Wales",,,Day 1,Day 33,Dumped
39,Liana Isadora Van Riel,https://static.wikia.nocookie.net/loveisland/images/8/81/S2_Liana_Isadora_Van_Riel.jpg/revision/latest?cb=20200709115608,Female,28,"August 9, 1995",Stripper,"Exeter, England",,,Day 20,Day 33,Dumped
40,Oliver Maxwell Fernandez,https://static.wikia.nocookie.net/loveisland/images/0/0b/S2_Oliver_Maxwell_Fernandez.jpg/revision/latest?cb=20200709113231,Male,,,Model,"Hertfordshire, England",,,Day 30,Day 31,Dumped
41,Malin Andersson,https://static.wikia.nocookie.net/loveisland/images/2/2e/S2_Malin_Andersson.jpg/revision/latest?cb=20200703183755,Female,31,"October 20, 1992",Makeup Artist,"Bedfordshire, England",,"Consy (daughter, b. 2018) †Xaya (daughter, b. 2022)",Day 1,Day 25,Dumped
42,Zara Holland,https://static.wikia.nocookie.net/loveisland/images/4/4a/S2_Zara_Holland.jpg/revision/latest?cb=20200703183756,Female,28,"August 24, 1995",Former Miss GB,"Hull, England",,,Day 1,Day 22,Walked
43,James Khan,https://static.wikia.nocookie.net/loveisland/images/c/c0/S2_James_Khan.jpg/revision/latest?cb=20200703183752,Male,27,"May 3, 1996",News-Agent,"Teddington, England",,,Day 18,Day 20,Dumped
44,Rykard Jenkins,https://static.wikia.nocookie.net/loveisland/images/9/9c/S2_Rykard_Jenkins.jpg/revision/latest?cb=20200703181448,Male,33,"March 10, 1991",Personal Trainer,"Kent, England",,,Day 1,Day 15,Walked
45,Daniel Lukakis,https://static.wikia.nocookie.net/loveisland/images/5/53/S2_Daniel_Lukakis.jpg/revision/latest?cb=20200129233831,Male,31,"January 24, 1992",Model,"London, England",,,Day 1,Day 15,Dumped
46,Rachel Fenton,https://static.wikia.nocookie.net/loveisland/images/9/97/S2_Rachel_Fenton.jpg/revision/latest?cb=20200703181449,Female,31,"September 18, 1992",Nurse,"Hampshire, England",,,Day 7,Day 15,Dumped
47,Malia Arkian,https://static.wikia.nocookie.net/loveisland/images/0/07/S2_Malia_Arkian.jpg/revision/latest?cb=20200701210735,Female,34,"June 24, 1989",Singer,"Wilmslow, England",,"Halo (daughter, b. 2019)",Day 7,Day 7,Removed
48,Javi Shephard,https://static.wikia.nocookie.net/loveisland/images/4/42/S2_Javi_Shephard.jpg/revision/latest?cb=20200129233837,Male,34,"May 12, 1989",Surveyor,"York, England",,,Day 1,Day 6,Dumped
49,Amber Davies,https://static.wikia.nocookie.net/loveisland/images/c/cb/S3_Amber_Davies.jpg/revision/latest?cb=20191018161810,Female,27,"October 4, 1996",Dancer,"North Wales, Wales",,,Day 1,Day 52,Winner
50,Kem Cetinay,https://static.wikia.nocookie.net/loveisland/images/2/24/S3_Kem_Cetinay.jpg/revision/latest?cb=20191018191558,Male,28,"April 25, 1996",Hairdresser,"Essex, England",,,Day 1,Day 52,Winner
51,Camilla Thurlow,https://static.wikia.nocookie.net/loveisland/images/9/9d/S3_Camilla_Thurlow.jpg/revision/latest?cb=20191018160906,Female,34,"July 9, 1989",Explosive Ordnance Disposal,"Dumfries, Scotland","Jamie Jewitt (husband, m. 2021)","Nell (daughter, b. 2020)Nora (daughter, b. 2022)unborn son (due 2024)",Day 1,Day 52,Runner-Up
52,Jamie Jewitt,https://static.wikia.nocookie.net/loveisland/images/2/22/S3_Jamie_Jewitt.jpg/revision/latest?cb=20191018191543,Male,33,"May 6, 1990",,"Essex, England","Camilla Thurlow (wife, m. 2021)","Nell (daughter, b. 2020)Nora (daughter, b. 2022)unborn son (due 2024)",Day 32,Day 52,Runner-Up
53,Chris Hughes,https://static.wikia.nocookie.net/loveisland/images/2/2d/S3_Chris_Hughes.jpg/revision/latest?cb=20200130022604,Male,31,"December 22, 1992",Model,"Cheltenham, England",,,Day 4,Day 52,3rd Place
54,Olivia Attwood,https://static.wikia.nocookie.net/loveisland/images/b/b9/S3_Olivia_Attwood.jpg/revision/latest?cb=20200130022754,Female,32,"May 2, 1991",Motorsport Grid Girl,"Surrey, England","Bradley Dack (husband, m. 2023)",,Day 1,Day 52,3rd Place
55,Gabby Allen,https://static.wikia.nocookie.net/loveisland/images/f/f3/S3_Gabby_Allen.jpg/revision/latest?cb=20191018155817,Female,32,"February 6, 1992",Dancer,"Liverpool, England",,,Day 7,Day 52,4th Place
56,Marcel Somerville,https://static.wikia.nocookie.net/loveisland/images/9/9e/S3_Marcel_Somerville.jpg/revision/latest?cb=20200130022731,Male,38,"January 7, 1986",Singer,"London, England","Rebecca Vieira (wife, m. 2022)","Roman (son, b. 2021)",Day 1,Day 52,4th Place
57,Alex Beattie,https://static.wikia.nocookie.net/loveisland/images/c/c9/S3_Alex_Beattie.jpg/revision/latest?cb=20200130022551,Male,29,"November 6, 1994",Personal trainer,"Newcastle, England",,,Day 26,Day 50,Dumped
58,Montana Brown,https://static.wikia.nocookie.net/loveisland/images/4/49/S3_Montana_Brown.jpg/revision/latest?cb=20200130022753,Female,28,"August 29, 1995",Student,"Hertfordshire, England",Mark O'Connor (fiancé),unborn child (due 2023),Day 1,Day 50,Dumped
59,Georgia Harrison,https://static.wikia.nocookie.net/loveisland/images/2/22/All_Stars_Georgia_Harrison.jpg/revision/latest?cb=20240118211843,Female,29,"December 12, 1994",PA,"Essex, England",,,Day 34,Day 46,Dumped
60,Sam Gowland,https://static.wikia.nocookie.net/loveisland/images/3/34/S3_Sam_Gowland.jpg/revision/latest?cb=20200130022806,Male,28,"August 2, 1995",Oil Rig Worker,"Middlesbrough, England",,,Day 1Day 39 (re-entered),Day 23Day 46 (re-dumped),Dumped
61,Mike Thalassitis,https://static.wikia.nocookie.net/loveisland/images/7/70/S3_Mike_Thalassitis.jpg/revision/latest?cb=20191018195615,Male,,"January 19, 1993",Semi-professional Footballer,"North London, England",,,Day 12Day 39 (Re-entered),Day 17Day 44 (Re-dumped),Dumped
62,Tyla Carr,https://static.wikia.nocookie.net/loveisland/images/a/a9/S3_Tyla_Carr.jpg/revision/latest?cb=20191018201819,Female,31,"January 29, 1993",Model,"Surrey, England",,"Archie (son, b. 2018)",Day 19,Day 44,Dumped
63,Theo Campbell,https://static.wikia.nocookie.net/loveisland/images/d/df/S3_Theo_Campbell.jpg/revision/latest?cb=20200130022848,Male,32,"July 14, 1991",Athlete,"Bath, England",,"Aries (son, b. 2021)",Day 32,Day 41,Dumped
64,Jonny Mitchell,https://static.wikia.nocookie.net/loveisland/images/2/24/S3_Jonny_Mitchell.jpg/revision/latest?cb=20191018195612,Male,33,"February 21, 1991",Business director,"Essex, England",,,Day 4,Day 38,Dumped
65,Craig Lawson,https://static.wikia.nocookie.net/loveisland/images/7/79/S3_Craig_Lawson.jpg/revision/latest?cb=20200630102239,Male,33,"July 31, 1990",Personal Trainer,"London, England",,three unnamed sons,Day 26,Day 31,Dumped
66,Nathan Joseph,https://static.wikia.nocookie.net/loveisland/images/6/68/S3_Nathan_Joseph.jpg/revision/latest?cb=20190807212124,Male,32,"February 1, 1992",Salesman,"Essex, England",,,Day 26,Day 31,Dumped
67,Danielle Sellers,https://static.wikia.nocookie.net/loveisland/images/8/8c/S3_Danielle_Sellers.jpg/revision/latest?cb=20190807212116,Female,28,"May 14, 1995",Model,"Hastings, England",,,Day 26,Day 31,Dumped
68,Chyna Ellis,https://static.wikia.nocookie.net/loveisland/images/f/fa/S3_Chyna_Ellis.jpg/revision/latest?cb=20191018202540,Female,29,"August 24, 1994",Fashion Stylist,"Essex, England",,,Day 26,Day 31,Dumped
69,Amelia Peters,https://static.wikia.nocookie.net/loveisland/images/7/7d/S3_Amelia_Peters.jpg/revision/latest?cb=20190807212111,Female,25,"November 8, 1998",ModelTeaching assistant,"London, England",,,Day 26,Day 28,Dumped
70,Dominic Lever,https://static.wikia.nocookie.net/loveisland/images/6/6f/S3_Dom_Lever.jpg/revision/latest?cb=20191018195610,Male,33,"January 24, 1991",Careers Advisor,"Manchester, England","Jessica Shears (wife, m. 2018)",Presley (b. 2020)unnamed baby boy (b. 2022),Day 1,Day 28,Dumped
71,Ellisha-Jade White,https://static.wikia.nocookie.net/loveisland/images/0/0d/S3_Ellisha-Jade_White.jpg/revision/latest?cb=20200130022706,Female,29,"July 31, 1994",Entrepreneur and blogger,"Southampton, England",,,Day 26,Day 28,Dumped
72,Marino Katsouris,https://static.wikia.nocookie.net/loveisland/images/f/f8/S3_Marino_Katsouris.jpg/revision/latest?cb=20190807212120,Male,29,"December 10, 1994",Personal trainer,"Brighton, England",,,Day 26,Day 28,Dumped
73,Rob Lipsett,https://static.wikia.nocookie.net/loveisland/images/6/6c/S3_Rob_Lipsett.jpg/revision/latest?cb=20200130022552,Male,32,"January 17, 1992",Entrepreneur,"Dublin, Ireland",,,Day 26,Day 28,Dumped
74,Shannen McGrath,https://static.wikia.nocookie.net/loveisland/images/2/26/S3_Shannen_McGrath.jpg/revision/latest?cb=20190807212129,Female,30,"January 5, 1994",,"Dublin, Ireland",,,Day 26,Day 28,Dumped
75,Steve Ball,https://static.wikia.nocookie.net/loveisland/images/7/7c/S3_Steve_Ball.jpg/revision/latest?cb=20190807212133,Male,,,Plumber,"Wiltshire, England",,,Day 26,Day 28,Dumped
76,Simon Searles,https://static.wikia.nocookie.net/loveisland/images/3/3d/S3_Simon_Searles.jpg/revision/latest?cb=20190807220944,Male,36,"March 15, 1988",Barber,"Leeds, England",,,Day 19,Day 25,Dumped
77,Chloë Crowhurst,https://static.wikia.nocookie.net/loveisland/images/f/f6/S3_Chloe_Crowhurst.jpg/revision/latest?cb=20191018193537,Female,27,"December 17, 1996",Executive Assistant,"Essex, England",,,Day 1,Day 23,Dumped
78,Jessica Lever,https://static.wikia.nocookie.net/loveisland/images/2/2d/S3_Jessica_Shears.jpg/revision/latest?cb=20191018193539,Female,30,"June 11, 1993",Glamour Model,"Devon, England","Dom Lever (husband, m. 2018)",Presley (b. 2020)unnamed baby boy (b. 2022),Day 1,Day 17,Dumped
79,Tyne-Lexy Clarson,https://static.wikia.nocookie.net/loveisland/images/e/e0/S3_Tyne-Lexy_Clarson.jpg/revision/latest?cb=20191018155039,Female,27,"February 2, 1997",Student,"Birmingham, England",,,Day 7,Day 14,Dumped
80,Harley Judge,https://static.wikia.nocookie.net/loveisland/images/d/d8/S3_Harley_Judge.jpg/revision/latest?cb=20191018195611,Male,29,"September 8, 1994",Grounds-Worker,"Norwich, England",,,Day 1,Day 6,Dumped
81,Dani Dyer,https://static.wikia.nocookie.net/loveisland/images/2/2c/S4_Dani_Dyer.jpg/revision/latest?cb=20240117233218,Female,27,"August 8, 1996",Barmaid,"East London, England",,"Santiago (son, b. 2021)Summer (daughter, b. 2023)Starr (daughter, b. 2023)",Day 1,Day 59,Winner
82,Jack Fincham,https://static.wikia.nocookie.net/loveisland/images/5/56/S4_Jack_Fincham.jpg/revision/latest?cb=20240117233249,Male,31,"May 9, 1992",Stationary Sales Manager,"Kent, England",,Blossom (daughter)[1],Day 1,Day 59,Winner
83,Laura Anderson,https://static.wikia.nocookie.net/loveisland/images/e/e9/S4_Laura_Anderson.jpg/revision/latest?cb=20180621215416,Female,35,"April 27, 1989",Air Hostess,"Stirling, Scotland",,"Bonnie Rose (daughter, b. 2023)",Day 1,Day 59,Runner-Up
84,Paul Knops,https://static.wikia.nocookie.net/loveisland/images/6/6a/S4_Paul_Knops.jpg/revision/latest?cb=20180717164610,Male,37,"November 11, 1986",ModelCarpenter (former),"Bournemouth, England",,,Day 43,Day 59,Runner-Up
85,Josh Denzel,https://static.wikia.nocookie.net/loveisland/images/6/60/S4_Josh_Denzel.jpg/revision/latest?cb=20180621221956,Male,32,"June 22, 1991",,"London, England",,,Day 8,Day 59,3rd Place
86,Kaz Crossley,https://static.wikia.nocookie.net/loveisland/images/f/fe/S4_Kazimir_Crossley.jpg/revision/latest?cb=20180629154658,Female,30,"January 19, 1994",Model,"London, England",,,Day 26,Day 59,3rd Place
87,Megan Barton Hanson,https://static.wikia.nocookie.net/loveisland/images/b/b1/LIG_Megan_Barton_Hanson.jpg/revision/latest?cb=20240104001809,Female,30,"March 6, 1994",Model,"Essex, England",,,Day 8,Day 59,4th Place
88,Wes Nelson,https://static.wikia.nocookie.net/loveisland/images/2/2e/S4_Wes_Nelson.jpg/revision/latest?cb=20180621221959,Male,25,"May 3, 1998",Electrical and Nuclear Systems Design Engineer,"Staffordshire, England",,,Day 1,Day 59,4th Place
89,Alex George,https://static.wikia.nocookie.net/loveisland/images/5/51/S4_Alex_George.jpg/revision/latest?cb=20180621212203,Male,34,"February 15, 1990",A&E Doctor,"Carmarthen, Wales",,,Day 1,Day 57,Dumped
90,Alexandra Cane,https://static.wikia.nocookie.net/loveisland/images/8/80/S4_Alexandra_Cane.jpg/revision/latest?cb=20180715114744,Female,32,"June 9, 1991",Makeup Artist,"Hertfordshire, England",,,Day 38,Day 57,Dumped
91,Jack Fowler,https://static.wikia.nocookie.net/loveisland/images/d/d3/LIG_Jack_Fowler.jpg/revision/latest?cb=20240104001802,Male,28,"January 1, 1996",DJPersonal Trainer,"London, England",,,Day 26,Day 53,Dumped
92,Laura Crane,https://static.wikia.nocookie.net/loveisland/images/b/b4/S4_Laura_Crane.jpg/revision/latest?cb=20180717164608,Female,29,"January 17, 1995",SurferModel,"Devon, England",,,Day 43,Day 53,Dumped
93,Josh Mair,https://static.wikia.nocookie.net/loveisland/images/1/10/S4_Josh_Mair.jpg/revision/latest?cb=20180717164608,Male,27,"October 22, 1996[1]",DJFitness Model,"Birmingham, England",,,Day 43,Day 50,Dumped
94,Stephanie Lam,https://static.wikia.nocookie.net/loveisland/images/2/23/S4_Stephanie_Lam.jpg/revision/latest?cb=20180717164609,Female,29,"March 13, 1995",Account ManagerModel,"Hertfordshire, England",,,Day 43,Day 50,Dumped
95,Georgia Steel,https://static.wikia.nocookie.net/loveisland/images/6/6f/All_Stars_Georgia_Steel.jpg/revision/latest?cb=20240118211844,Female,26,"March 28, 1998",Performing Arts StudentBarmaid,"York, England",,,Day 4,Day 47,Dumped
96,Sam Bird,https://static.wikia.nocookie.net/loveisland/images/5/59/S4_Sam_Bird.jpg/revision/latest?cb=20180621222815,Male,31,"November 28, 1992",EntrepreneurPersonal Trainer,"Norwich, England","Kailah Casillas-Bird (wife, m. 2022)",,Day 19,Day 47,Dumped
97,Charlie Brake,https://static.wikia.nocookie.net/loveisland/images/9/91/S4_Charlie_Brake.jpg/revision/latest?cb=20180627223835,Male,29,"January 5, 1995",Socialite,"Chelsea, England",,,Day 26,Day 43,Dumped
98,Ellie Brown,https://static.wikia.nocookie.net/loveisland/images/7/74/S4_Ellie_Brown.jpg/revision/latest?cb=20180621182011,Female,26,"February 25, 1998",Business Development manager,"Newcastle, England",,,Day 15,Day 43,Dumped
99,Idris Virgo,https://static.wikia.nocookie.net/loveisland/images/f/f9/S4_Idris_Virgo.jpg/revision/latest?cb=20180715115523,Male,30,"June 11, 1993",Boxer,"Birmingham, England",,,Day 36,Day 40,Dumped
100,Kieran Nicholls,https://static.wikia.nocookie.net/loveisland/images/c/ce/S4_Kieran_Nicholls.jpg/revision/latest?cb=20180715115524,Male,32,"April 5, 1992",Fitness InstructorChef (former),"London, England",,,Day 36,Day 40,Dumped
101,Samira Mighty,https://static.wikia.nocookie.net/loveisland/images/6/6c/S4_Samira_Mighty.jpg/revision/latest?cb=20240117233321,Female,28,"November 16, 1995",West End Performer,"London, England",,,Day 1,Day 40,Walked
102,Frankie Foster,https://static.wikia.nocookie.net/loveisland/images/b/be/S4_Frankie_Foster.jpg/revision/latest?cb=20180627223836,Male,28,"January 17, 1996",Business Management StudentFitness Coach,"Cheltenham, England",,,Day 26,Day 36,Dumped
103,Grace Wardle,https://static.wikia.nocookie.net/loveisland/images/6/63/S4_Grace_Wardle.jpg/revision/latest?cb=20240117233238,Female,30,"August 20, 1993",Hairdresser,"London, England",,,Day 26,Day 36,Dumped
104,Adam Collard,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Adam_Collard.jpg/revision/latest?cb=20220710222545,Male,28,"October 27, 1995",Personal Trainer,"Newcastle, England",,,Day 1,Day 32,Dumped
105,Alex Miller,https://static.wikia.nocookie.net/loveisland/images/3/32/S4_Alex_Miller.jpg/revision/latest?cb=20180627221100,Male,34,"February 21, 1990",Structural Glazier,"Essex, England",,,Day 26,Day 32,Dumped
