,name,image_href,gender,age,birthdate,occupation,hometown,spouses,children,entered,left,status
106,Darylle Sargeant,https://static.wikia.nocookie.net/loveisland/images/f/fd/S4_Darylle_Sargeant.jpg/revision/latest?cb=20180627222507,Female,30,"September 24, 1993",Eyebrow Technician,"Watford, England",,,Day 26,Day 32,Dumped
107,Ellie Jones,https://static.wikia.nocookie.net/loveisland/images/6/63/S4_Ellie_Jones.jpg/revision/latest?cb=20180627222508,Female,28,"February 10, 1996",Customer ServiceOffice Administrator,"Kent, England",,,Day 26,Day 32,Dumped
108,Charlie Williams,https://static.wikia.nocookie.net/loveisland/images/5/58/S4_Charlie_Williams.jpg/revision/latest?cb=20180629154657,Female,30,"March 16, 1994",Tanning Shop Assistant,"Bath, England",Luke Daniels,"Ocean (daughter, b. 2020)Reef (son, b. 2023)",Day 26,Day 30,Dumped
109,Dean Overson,https://static.wikia.nocookie.net/loveisland/images/a/ae/S4_Dean_Overson.jpg/revision/latest?cb=20180627221650,Male,30,"June 16, 1993",Car Sales Executive,"Burnley, England",,,Day 26,Day 30,Dumped
110,Jordan Adefeyisan,https://static.wikia.nocookie.net/loveisland/images/e/e3/S4_Jordan_Adefeyisan.jpg/revision/latest?cb=20180627222508,Male,28,"September 22, 1995",Model,"Stockport, England",,,Day 26,Day 30,Dumped
111,Savanna Darnell,https://static.wikia.nocookie.net/loveisland/images/4/4d/S4_Savanna_Darnell.jpg/revision/latest?cb=20180629152922,Female,28,"October 28, 1995",SingerDancer,"Sheffield, England",,,Day 26,Day 30,Dumped
112,Zara McDermott,https://static.wikia.nocookie.net/loveisland/images/9/94/S4_Zara_McDermott.jpg/revision/latest?cb=20180621211502,Female,27,"December 14, 1996",Government Advisor,"Essex, England",,,Day 15,Day 25,Dumped
113,Eyal Booker,https://static.wikia.nocookie.net/loveisland/images/a/a7/LIG_Eyal_Booker.jpg/revision/latest?cb=20240103233126,Male,28,"August 2, 1995",Model,"London, England",,,Day 1,Day 25,Dumped
114,Rosie Williams,https://static.wikia.nocookie.net/loveisland/images/f/ff/S4_Rosie_Williams.jpg/revision/latest?cb=20180621221958,Female,32,"September 26, 1991",Solicitor,"South Wales, Wales",,,Day 4,Day 20,Dumped
115,Charlie Frederick,https://static.wikia.nocookie.net/loveisland/images/c/cb/S4_Charlie_Frederick.jpg/revision/latest?cb=20180621221955,Male,28,"November 10, 1995",Model,"Plymouth, England",,,Day 8,Day 13,Dumped
116,Hayley Hughes,https://static.wikia.nocookie.net/loveisland/images/c/cd/S4_Hayley_Hughes.jpg/revision/latest?cb=20180621212439,Female,27,"June 27, 1996",Model,"Liverpool, England",,"Cody (son, b. 2023)",Day 1,Day 13,Dumped
117,Niall Aslam,https://static.wikia.nocookie.net/loveisland/images/9/9a/S4_Niall_Aslam.jpg/revision/latest?cb=20240117233308,,28,"July 13, 1995",StudentConstruction Worker,"Coventry, England",,,Day 1,Day 9,Walked
118,Kendall Rae-Knight,https://static.wikia.nocookie.net/loveisland/images/0/01/S4_Kendall_Rae-Knight.jpg/revision/latest?cb=20180621214503,Female,32,"January 28, 1992",Retail Manager,"Blackpool, England",,"Cooper (son, b. 2024)",Day 1,Day 6,Dumped
119,Amber Gill,https://static.wikia.nocookie.net/loveisland/images/c/c5/S5_Amber_Gill.jpg/revision/latest?cb=20240117233056,Female,26,"August 4, 1997[1]",Beauty therapist,"Newcastle, England",,,Day 1,Day 58,Winner
120,Greg O'Shea,https://static.wikia.nocookie.net/loveisland/images/6/67/S5_Greg_O%27Shea.jpg/revision/latest?cb=20190715212249,Male,29,"March 23, 1995",Professional Rugby player,"Limerick, Ireland",,,Day 43,Day 58,Winner
121,Molly-Mae Hague,https://static.wikia.nocookie.net/loveisland/images/b/b5/S5_Molly-Mae_Hague.jpg/revision/latest?cb=20190608183649,Female,24,"May 25, 1999",Social media influencer,"Manchester, England",Tommy Fury (fiancé),"Bambi (daughter, b. 2023)",Day 4,Day 58,Runner-Up
122,Tommy Fury,https://static.wikia.nocookie.net/loveisland/images/6/61/S5_Tommy_Fury.jpg/revision/latest?cb=20190528084737,Male,24,"May 7, 1999",Boxer,"Manchester, England",,"Bambi (daughter, b. 2023)",Day 1,Day 58,Runner-Up
123,India Reynolds,https://static.wikia.nocookie.net/loveisland/images/4/4e/S5_India_Reynolds.jpg/revision/latest?cb=20190715212250,Female,33,"December 20, 1990",Model,"Reading, England",,,Day 43,Day 58,3rd Place
124,Ovie Soko,https://static.wikia.nocookie.net/loveisland/images/9/94/S5_Ovie_Soko.jpg/revision/latest?cb=20190714211947,Male,33,"February 7, 1991",Professional basketball player,"London, England",,,Day 26,Day 58,3rd Place
125,Curtis Pritchard,https://static.wikia.nocookie.net/loveisland/images/0/02/LIG_Curtis_Pritchard.jpg/revision/latest?cb=20240104001758,Male,28,"February 8, 1996",Ballroom and Latin dancer,"Shropshire, England",,,Day 1,Day 58,4th Place
126,Maura Higgins,https://static.wikia.nocookie.net/loveisland/images/c/c1/S5_Maura_Higgins.jpg/revision/latest?cb=20190612202211,Female,33,"November 25, 1990",Model and grid girl,"County Longford, Ireland",,,Day 10,Day 58,4th Place
127,Anton Danyluk,https://static.wikia.nocookie.net/loveisland/images/1/1b/All_Stars_Anton_Danyluk.jpg/revision/latest?cb=20240118211840,Male,29,"September 6, 1994",Gym owner,"Airdrie, Scotland",,,Day 1,Day 56,Dumped
128,Belle Hassan,https://static.wikia.nocookie.net/loveisland/images/2/20/S5_Belle_Hassan.jpg/revision/latest?cb=20190714205034,Female,26,"March 6, 1998",Makeup Artist,"Bromley, England",,,Day 26,Day 56,Dumped
129,Anna Vakili,https://static.wikia.nocookie.net/loveisland/images/c/c9/S5_Anna_Vakili.jpg/revision/latest?cb=20190528084715,Female,33,"July 9, 1990",Pharmacist,"London, England",,,Day 1,Day 52,Dumped
130,Chris Taylor,https://static.wikia.nocookie.net/loveisland/images/3/39/All_Stars_Chris_Taylor.jpg/revision/latest?cb=20240118211841,Male,33,"July 31, 1990",Business Development Manager,"Leicester, England",,,Day 37,Day 52,Dumped
131,Harley Brash,https://static.wikia.nocookie.net/loveisland/images/c/c8/S5_Harley_Brash.jpg/revision/latest?cb=20190715212030,Female,25,"October 5, 1998",Estate Agent,"Newcastle, England",,,Day 43,Day 52,Dumped
132,Jordan Hames,https://static.wikia.nocookie.net/loveisland/images/5/51/S5_Jordan_Hames.jpg/revision/latest?cb=20190618105338,Male,29,"March 6, 1995",Model,"Manchester, England",,,Day 14,Day 52,Dumped
133,Francesca Allen,https://static.wikia.nocookie.net/loveisland/images/5/53/S5_Francesca_Allen.jpg/revision/latest?cb=20190714212223,Female,28,"November 7, 1995[1]",Clothing store manager,"Essex, England",,,Day 37,Day 49,Dumped
134,Michael Griffiths,https://static.wikia.nocookie.net/loveisland/images/1/16/S5_Michael_Griffiths.jpg/revision/latest?cb=20190610163117,Male,32,"October 2, 1991",Firefighter,"Liverpool, England",,,Day 1,Day 49,Dumped
135,Joanna Chimonides,https://static.wikia.nocookie.net/loveisland/images/a/a0/All_Stars_Joanna_Chimonides.jpg/revision/latest?cb=20240131215327,Female,27,"October 15, 1996",Recruitment Consultant,"London, England",,,Day 26,Day 42,Dumped
136,Marvin Brooks,https://static.wikia.nocookie.net/loveisland/images/3/3c/S5_Marvin_Brooks.jpg/revision/latest?cb=20190714211944,Male,34,"August 6, 1989",Personal trainerEx royal navy officer,"Bournemouth, England",,,Day 26,Day 39,Dumped
137,Amy Hart,https://static.wikia.nocookie.net/loveisland/images/7/78/S5_Amy_Hart.jpg/revision/latest?cb=20190801185121,Female,30,"July 19, 1993",Flight Attendant,"Worthing, England",,"Stanley (son, b. 2023)",Day 1,Day 37,Walked
138,George Rains,https://static.wikia.nocookie.net/loveisland/images/6/60/S5_George_Rains.jpg/revision/latest?cb=20190714211938,Male,27,"December 10, 1996",ModelBuilder,"Essex, England",,,Day 26,Day 36,Dumped
139,Lucie Donlan,https://static.wikia.nocookie.net/loveisland/images/e/e0/S5_Lucie_Donlan.jpg/revision/latest?cb=20190528084729,Female,26,"February 22, 1998",Surfer,"Newquay, England",Luke Mabbott (fiancé),,Day 1,Day 36,Dumped
140,Danny Williams,https://static.wikia.nocookie.net/loveisland/images/5/5f/S5_Danny_Williams.jpg/revision/latest?cb=20190610163131,Male,21,"August 5, 1997",Model,"Hull, England",,,Day 6,Day 36,Dumped
141,Jourdan Riane,https://static.wikia.nocookie.net/loveisland/images/f/f0/S5_Jourdan_Riane.jpg/revision/latest?cb=20190714211939,Female,29,"March 18, 1995",ModelActressInfluencer,"London, England",,,Day 26,Day 36,Dumped
142,Dan Rose,https://static.wikia.nocookie.net/loveisland/images/2/24/S5_Dan_Rose.jpg/revision/latest?cb=20190714211930,Male,25,"May 25, 1998",Bathroom salesman,"Nuneaton, England",,,Day 26,Day 30,Dumped
143,Dennon Lewis,https://static.wikia.nocookie.net/loveisland/images/d/d5/S5_Dennon_Lewis.jpg/revision/latest?cb=20190714211936,Male,26,"May 9, 1997",Professional footballer,"Watford, England",,,Day 26,Day 30,Dumped
144,Lavena Back,https://static.wikia.nocookie.net/loveisland/images/e/ec/S5_Lavena_Back.jpg/revision/latest?cb=20190714211941,Female,28,"December 15, 1995",Business Developer,"Croydon, England","George (husband, m. 2022)","Sage (daughter, b. 2022)Bodhi (son, b. 2023)",Day 26,Day 30,Dumped
145,Maria Wild,https://static.wikia.nocookie.net/loveisland/images/1/11/S5_Maria_Wild.jpg/revision/latest?cb=20190714211942,Female,26,"May 2, 1997",VIP Host,"Cheltenham, England",,,Day 26,Day 30,Dumped
146,Nabila Badda,https://static.wikia.nocookie.net/loveisland/images/7/71/S5_Nabila_Badda.jpg/revision/latest?cb=20190714211945,Female,34,"December 22, 1989",Hostess,"London, England",,,Day 26,Day 30,Dumped
147,Stevie Bradley,https://static.wikia.nocookie.net/loveisland/images/0/06/S5_Stevie_Bradley.jpg/revision/latest?cb=20190714211948,Male,26,"February 21, 1998",Student,Isle of Man,,,Day 26,Day 30,Dumped
148,Arabella Chi,https://static.wikia.nocookie.net/loveisland/images/e/eb/All_Stars_Arabella_Chi.jpg/revision/latest?cb=20240120021936,Female,33,"March 19, 1991",Model,"London, England",,,Day 18,Day 25,Dumped
149,Tom Walker,https://static.wikia.nocookie.net/loveisland/images/4/43/S5_Tom_Walker.jpg/revision/latest?cb=20190618105645,Male,29,"January 1, 1990",Model,"Leeds, England",,,Day 14,Day 25,Dumped
150,Yewande Biala,https://static.wikia.nocookie.net/loveisland/images/a/a9/S5_Yewande_Biala.jpg/revision/latest?cb=20190528084740,Female,28,"October 26, 1995",Pharmacist,"Dublin, Ireland",,,Day 1,Day 22,Dumped
151,Elma Pazar,https://static.wikia.nocookie.net/loveisland/images/5/50/S5_Elma_Pazar.jpg/revision/latest?cb=20190612202347,Female,31,"July 7, 1992",Eyelash Technician,"Essex, England",,,Day 10,Day 16,Dumped
152,Joe Garratt,https://static.wikia.nocookie.net/loveisland/images/f/f5/All_Stars_Joe_Garratt.jpg/revision/latest?cb=20240208221303,Male,27,"August 25, 1996",Catering company owner,"South East London, England",,,Day 1,Day 16,Dumped
153,Sherif Lanre,https://static.wikia.nocookie.net/loveisland/images/9/9b/S5_Sherif_Lanre.jpg/revision/latest?cb=20190528084735,Male,25,"April 17, 1999",Chef and semi-professional rugby player,"London, England",,,Day 1,Day 9,Removed
154,Callum Macleod,https://static.wikia.nocookie.net/loveisland/images/0/02/S5_Callum_Macleod.jpg/revision/latest?cb=20190528084720,Male,33,"September 1, 1990",Aircraft engineer,"South Wales, Wales",,,Day 1,Day 5,Dumped
155,Finley Tapp,https://static.wikia.nocookie.net/loveisland/images/6/6e/S6_Finley_Tapp.jpg/revision/latest?cb=20200116115100,Male,24,"November 9, 1999",Recruitment consultant and Footballer,"Milton Keynes, England",,,Day 5,Day 43,Winner
156,Paige Turley,https://static.wikia.nocookie.net/loveisland/images/2/20/S6_Paige_Turley.jpg/revision/latest?cb=20200107174318,Female,26,"August 14, 1997",Singer,"West Lothian, Scotland",,,Day 1,Day 43,Winner
157,Luke Trotman,https://static.wikia.nocookie.net/loveisland/images/d/dc/S6_Luke_Trotman.jpg/revision/latest?cb=20200129225614,Male,26,"June 4, 1997",Heating engineer,"Luton, England",,,Day 12,Day 43,Runner-Up
158,Siannise Fudge,https://static.wikia.nocookie.net/loveisland/images/8/82/S6_Siannise_Fudge.jpg/revision/latest?cb=20200107174401,Female,29,"July 5, 1994",Beauty consultant,"Bristol, England",,,Day 1,Day 43,Runner-Up
159,Demi Jones,https://static.wikia.nocookie.net/loveisland/images/1/1c/All_Stars_Demi_Jones.jpg/revision/latest?cb=20240118211842,Female,25,"July 2, 1998",Style advisor,"Portsmouth, England",,,Day 16,Day 43,3rd Place
160,Luke Mabbott,https://static.wikia.nocookie.net/loveisland/images/c/cf/S6_Luke_Mabbott.jpg/revision/latest?cb=20200123221647,Male,28,"May 4, 1995",Heating engineer,"Redcar, England",Lucie Donlan (fiancée),,Day 12,Day 43,3rd Place
161,Ched Uzor,https://static.wikia.nocookie.net/loveisland/images/3/3a/S6_Ched_Uzor.jpg/revision/latest?cb=20200202154315,Male,27,"July 27, 1996",Scaffolder,"Suffolk, England",,,Day 21,Day 43,4th Place
162,Jess Gale,https://static.wikia.nocookie.net/loveisland/images/8/81/All_Stars_Jess_Gale.jpg/revision/latest?cb=20240208221243,Female,24,"May 8, 1999",Students and VIP hostesses,"London, England",,,Day 1,Day 43,4th Place
163,Mike Boateng,https://static.wikia.nocookie.net/loveisland/images/8/89/LIG_Mike_Boateng.jpg/revision/latest?cb=20240104001810,Male,28,"August 4, 1995",Police officer,"Manchester, England",,,Day 1,Day 41,Dumped
164,Priscilla Anyabu,https://static.wikia.nocookie.net/loveisland/images/3/32/S6_Priscilla_Anyabu.jpg/revision/latest?cb=20200202154340,Female,29,"December 7, 1994",Model and Operations Manager,"Battersea, England",,,Day 23,Day 41,Dumped
165,Callum Jones,https://static.wikia.nocookie.net/loveisland/images/6/66/All_Stars_Callum_Jones.jpg/revision/latest?cb=20240120022214,Male,27,"July 12, 1996",Scaffolder,"Manchester, England",,,Day 1,Day 38,Dumped
166,Molly Smith,https://static.wikia.nocookie.net/loveisland/images/8/88/All_Stars_Molly_Smith.jpg/revision/latest?cb=20240120022727,Female,30,"April 25, 1994",Model,"Manchester, England",,,Day 21,Day 38,Dumped
167,Jamie Clayton,https://static.wikia.nocookie.net/loveisland/images/e/eb/S6_Jamie_Clayton.jpg/revision/latest?cb=20200212003841,Male,28,1991,Recruitment consultant,"Edinburgh, Scotland",,,Day 31,Day 38,Participating
168,Natalia Zoppa,https://static.wikia.nocookie.net/loveisland/images/e/e6/S6_Natalia_Zoppa.jpg/revision/latest?cb=20200202154339,Female,24,"July 5, 1999",Student and Club Promoter,"Manchester, England",,,Day 23,Day 38,Dumped
169,Shaughna Phillips,https://static.wikia.nocookie.net/loveisland/images/b/ba/S6_Shaughna_Phillips.jpg/revision/latest?cb=20200107174339,Female,30,"April 11, 1994",Democratic Services Officer,"London, England",,"Lucia (daughter, b. 2023)",Day 1,Day 33,Dumped
170,Eva Zapico,https://static.wikia.nocookie.net/loveisland/images/6/69/S6_Eva_Zapico.jpg/revision/latest?cb=20200202154316,Female,25,"July 23, 1998",Recruitment Consultant,"Bromley, England",,,Day 23,Day 30,Dumped
171,Jordan Waobikeze,https://static.wikia.nocookie.net/loveisland/images/0/03/S6_Jordan_Waobikeze.jpg/revision/latest?cb=20200202154336,Male,24,1995,Administrator,"London, England",,,Day 21,Day 30,Dumped
172,Nas Majeed,https://static.wikia.nocookie.net/loveisland/images/9/96/S6_Nas_Majeed.jpg/revision/latest?cb=20200107171310,Male,28,"February 24, 1996",Sports science graduate and builder,"London, England",,,Day 1,Day 30,Dumped
173,Rebecca Gormley,https://static.wikia.nocookie.net/loveisland/images/5/51/S6_Rebecca_Gormley.jpg/revision/latest?cb=20200121221415,Female,26,"April 18, 1998",Part-time model and carer,"Newcastle, England",,,Day 9,Day 30,Dumped
174,Alexi Eraclides,https://static.wikia.nocookie.net/loveisland/images/8/8a/S6_Alexi_Eraclides.jpg/revision/latest?cb=20200202154313,Male,27,"May 11, 1996",Butler in the Buff,"Essex, England",,,Day 23,Day 26,Dumped
175,Biggs Chris,https://static.wikia.nocookie.net/loveisland/images/d/de/S6_Biggs_Chris.jpg/revision/latest?cb=20200202154313,Male,31,"May 15, 1992",Car Body Repair Specialist,"Glasgow, Scotland",,"Ziyon-Marvin (son, b. 2023)",Day 23,Day 26,Dumped
176,George Day,https://static.wikia.nocookie.net/loveisland/images/d/db/S6_George_Day.jpg/revision/latest?cb=20200202154317,Male,32,"February 8, 1992",Estate Agent,"Southampton, England",,,Day 23,Day 26,Dumped
177,Jade Affleck,https://static.wikia.nocookie.net/loveisland/images/d/d1/S6_Jade_Affleck.jpg/revision/latest?cb=20200202154334,Female,29,"November 28, 1994",Sales Professional,"Yarm, England",,,Day 23,Day 26,Dumped
178,Jamie McCann,https://static.wikia.nocookie.net/loveisland/images/d/df/S6_Jamie_McCann.jpg/revision/latest?cb=20200202154335,Female,28,"January 3, 1996",Eyelash Technician,"North Ayrshire, Scotland",,,Day 23,Day 26,Dumped
179,Josh Kempton,https://static.wikia.nocookie.net/loveisland/images/5/5f/S6_Josh_Kempton.jpg/revision/latest?cb=20200202154337,Male,25,"November 4, 1998",Model,"Surrey, England",,,Day 23,,Day 26
180,Sophie Piper,https://static.wikia.nocookie.net/loveisland/images/2/28/All_Stars_Sophie_Piper.jpg/revision/latest?cb=20240126181214,Female,25,"October 27, 1998",Medical PA,"Essex, England",,,Day 1,Day 22,Dumped
181,Wallace Wilson,https://static.wikia.nocookie.net/loveisland/images/4/4e/S6_Wallace_Wilson.jpg/revision/latest?cb=20200127234506,Male,28,"November 4, 1995",Personal trainer,"Inverness, Scotland",,,Day 16,Day 22,Dumped
182,Leanne Amaning,https://static.wikia.nocookie.net/loveisland/images/f/f2/S6_Leanne_Amaning.jpg/revision/latest?cb=20200107174154,Female,26,"June 2, 1997",Customer service advisor,"London, England",,,Day 1,Day 18,Dumped
183,Connor Durman,https://static.wikia.nocookie.net/loveisland/images/2/2e/S6_Connor_Durman.jpg/revision/latest?cb=20200107164916,Male,29,"June 11, 1994",Coffee bean salesman,"Brighton, England",,,Day 1,Day 15,Dumped
184,Connagh Howard,https://static.wikia.nocookie.net/loveisland/images/6/6e/S6_Connagh_Howard.jpg/revision/latest?cb=20200116115054,Male,32,"April 26, 1992",Model,"Cardiff, Wales",Beth Dunlavey (fiancée),,Day 5,Day 13,Dumped
185,Eve Gale,https://static.wikia.nocookie.net/loveisland/images/f/f5/All_Stars_Eve_Gale.jpg/revision/latest?cb=20240208221253,Female,24,"May 8, 1999",Student and VIP hostess,"London, England",,,Day 1,Day 6,Dumped
186,Ollie Williams,https://static.wikia.nocookie.net/loveisland/images/c/cf/S6_Ollie_Williams.jpg/revision/latest?cb=20200107171325,Male,28,"January 18, 1996",Land owner,"Cornwall, England",,,Day 1,Day 4,Walked
187,Liam Reardon,https://static.wikia.nocookie.net/loveisland/images/4/4d/S6_Liam_Reardon.jpg/revision/latest?cb=20210701134908,Male,24,"August 18, 1999",Bricklayer,"Merthyr Tydfil, Wales",,,Day 4,Day 58,Winner
188,Millie Court,https://static.wikia.nocookie.net/loveisland/images/c/cd/S7_Millie_Court.jpg/revision/latest?cb=20210705232338,Female,27,"December 4, 1996",Fashion Buyer,"Essex, England",,,Day 9,Day 58,Winner
189,Chloe Burrows,https://static.wikia.nocookie.net/loveisland/images/d/d9/S7_Chloe_Burrows.jpg/revision/latest?cb=20210705014555,Female,28,"September 26, 1995",Financial Services Marketing Executive,"Bicester, England",,,Day 1,Day 58,Runner-Up
190,Toby Aromolaran,https://static.wikia.nocookie.net/loveisland/images/8/8e/All_Stars_Toby_Aromolaran.jpg/revision/latest?cb=20240118211849,Male,25,"March 3, 1999",Semi-pro footballer,"Essex, England",,,Day 1,Day 58,Runner-Up
191,Faye Winter,https://static.wikia.nocookie.net/loveisland/images/0/0a/S7_Faye_Winter.jpg/revision/latest?cb=20210705015959,Female,28,"June 21, 1995",Lettings manager,"Devon, England",,,Day 1,Day 58,3rd Place
192,Teddy Soares,https://static.wikia.nocookie.net/loveisland/images/8/86/S7_Teddy_Soares.jpg/revision/latest?cb=20210709180945,Male,26,"April 6, 1995",Senior Financial Consultant,"Manchester, England",,,Day 12,Day 58,3rd Place
193,Kaz Kamwi,https://static.wikia.nocookie.net/loveisland/images/9/9a/All_Stars_Kaz_Kamwi.jpg/revision/latest?cb=20240118211847,Female,29,"October 27, 1994",Fashion Blogger,"Essex, England",,,Day 1,Day 58,4th Place
194,Tyler Cruickshank,https://static.wikia.nocookie.net/loveisland/images/6/6c/All_Stars_Tyler_Cruickshank.jpg/revision/latest?cb=20240126181554,Male,28,"May 12, 1995",Estate agent,"Croydon, England",,,Day 23,Day 58,4th Place
195,Jake Cornish,https://static.wikia.nocookie.net/loveisland/images/9/9a/All_Stars_Jake_Cornish.jpg/revision/latest?cb=20240118211846,Male,27,"April 17, 1997",Water Engineer,"Weston-super-Mare, England",,,Day 1,Day 54,Walked
196,Liberty Poole,https://static.wikia.nocookie.net/loveisland/images/c/c1/All_Stars_Liberty_Poole.jpg/revision/latest?cb=20240118212058,Female,24,"September 2, 1999",Waitress and Marketing Student,"Birmingham, England",,,Day 1,Day 54,Walked
197,Aaron Simpson,https://static.wikia.nocookie.net/loveisland/images/a/a8/S7_Aaron_Simpson.jpg/revision/latest?cb=20210808151826,Male,27,"March 7, 1997",Footballer,"Devon, England",,,Day 42,Day 52,Dumped
198,Mary Bedford,https://static.wikia.nocookie.net/loveisland/images/f/f1/S7_Mary_Bedford.jpg/revision/latest?cb=20210727223459,Female,24,"July 14, 1999",Model,"Wakefield, England",,,Day 29,Day 52,Dumped
199,Brett Staniland,https://static.wikia.nocookie.net/loveisland/images/3/37/S7_Brett_Staniland.jpg/revision/latest?cb=20210811162705,Male,27,"November 28, 1993",PhD Student,"Derbyshire, England",,,Day 44,Day 50,Dumped
200,Priya Gopaldas,https://static.wikia.nocookie.net/loveisland/images/f/f8/S7_Priya_Gopaldas.jpg/revision/latest?cb=20210808151353,Female,26,"October 26, 1997",Medical Student,"London, England",,,Day 42,Day 50,Dumped
201,Matthew MacNabb,https://static.wikia.nocookie.net/loveisland/images/c/cb/S7_Matthew_MacNabb.jpg/revision/latest?cb=20210727223546,Male,29,"January 5, 1995",Strategic Marketing Consultant,"Belfast, Ireland",,,Day 29,Day 45,Dumped
202,Abigail Rawlings,https://static.wikia.nocookie.net/loveisland/images/7/7c/S7_Abigail_Rawlings.jpg/revision/latest?cb=20210721222805,Female,30,"February 28, 1994",Tattoo artist,"Bournemouth, England",,,Day 23,Day 42,Dumped
203,Dale Mehmet,https://static.wikia.nocookie.net/loveisland/images/3/39/S7_Dale_Mehmet.jpg/revision/latest?cb=20210727222638,Male,27,"November 17, 1996",Barber,"Glasgow, Scotland",,,Day 29,Day 42,Dumped
204,Amy Day,https://static.wikia.nocookie.net/loveisland/images/0/04/S7_Amy_Day.jpg/revision/latest?cb=20210727222050,Female,28,"December 15, 1995",Performer,"Surrey, England",,,Day 29,Day 38,Dumped
205,Clarisse Juliette,https://static.wikia.nocookie.net/loveisland/images/f/f4/S7_Clarisse_Juliette.jpg/revision/latest?cb=20210727222138,Female,25,"May 2, 1998",Brand OwnerInfluencer,"London, England",,,Day 29,Day 38,Dumped
206,Hugo Hammond,https://static.wikia.nocookie.net/loveisland/images/e/e3/S7_Hugo_Hammond.jpg/revision/latest?cb=20210705012927,Male,27,"August 7, 1996",PE Teacher,"Hampshire, England",,,Day 1,Day 38,Dumped
207,Sam Jackson,https://static.wikia.nocookie.net/loveisland/images/d/de/S7_Sam_Jackson.jpg/revision/latest?cb=20210727223807,Male,26,"March 7, 1998",Maintenance Manager,"Clitheroe, England",,,Day 29,Day 38,Dumped
208,Harry Young,https://static.wikia.nocookie.net/loveisland/images/f/f3/S7_Harry_Young.jpg/revision/latest?cb=20210727223202,Male,27,"April 24, 1997",Car Salesman,"Wishaw, Scotland",,,Day 29,Day 32,Dumped
209,Jack Barlow,https://static.wikia.nocookie.net/loveisland/images/b/b2/S7_Jack_Barlow.jpg/revision/latest?cb=20210727223238,Male,28,"June 8, 1995",Racing Driver and Coach,"East Sussex, England",,,Day 29,Day 32,Dumped
210,Kaila Troy,https://static.wikia.nocookie.net/loveisland/images/7/7e/S7_Kaila_Troy.jpg/revision/latest?cb=20210727223315,Female,"January 4, 1993",31,International DJ,"Dublin, Ireland",,,Day 29,Day 32,Dumped
211,Lillie Haynes,https://static.wikia.nocookie.net/loveisland/images/0/0a/S7_Lillie_Haynes.jpg/revision/latest?cb=20210727223410,Female,25,"November 10, 1998",Trainee Accountant,"South Shields, England",,,Day 29,Day 32,Dumped
212,Medhy Malanda,https://static.wikia.nocookie.net/loveisland/images/f/f1/S7_Medhy_Malanda.jpg/revision/latest?cb=20210727223651,Male,27,"March 25, 1997",American football player and Model,"Luton, England",,,Day 29,Day 32,Dumped
213,Salma Naran,https://static.wikia.nocookie.net/loveisland/images/4/4f/S7_Salma_Naran.jpg/revision/latest?cb=20210727223717,Female,22,"May 30, 2001",Model and Influencer,"Dublin, Ireland",,,Day 29,Day 32,Dumped
214,Aaron Francis,https://static.wikia.nocookie.net/loveisland/images/1/15/S7_Aaron_Francis.jpg/revision/latest?cb=20210705014208,Male,27,"September 29, 1996",Luxury events host,"London, England",,,Day 1,Day 28,Dumped
215,Lucinda Strafford,https://static.wikia.nocookie.net/loveisland/images/a/a9/Aus_S5_Lucinda_Strafford.jpg/revision/latest?cb=20240304231849,Female,24,"November 4, 1999",Online Fashion Boutique Owner,"Brighton, England",,,Day 9,Day 28,Dumped
