,name,image_href,gender,age,birthdate,occupation,hometown,spouses,children,entered,left,status
216,Georgia Townend,https://static.wikia.nocookie.net/loveisland/images/6/62/S7_Georgia_Townend.jpg/revision/latest?cb=20210721221806,Female,31,"January 1, 1993",Marketing executive,"Essex, England",,,Day 23,Day 25,Dumped
217,Andrea-Jane Bunker,https://static.wikia.nocookie.net/loveisland/images/5/51/S7_Andrea-Jane_Bunker.jpg/revision/latest?cb=20210716005508,Female,31,"December 9, 1992",Hair extensions technician,"Hemel Hempstead, England",,,Day 17,Day 23,Dumped
218,Danny Bibby,https://static.wikia.nocookie.net/loveisland/images/7/70/S7_Danny_Bibby.jpg/revision/latest?cb=20210716005938,Male,25,"November 28, 1995",Plumber,"Manchester, England",,,Day 18,Day 23,Dumped
219,Sharon Gaffka,https://static.wikia.nocookie.net/loveisland/images/7/7e/S7_Sharon_Gaffka.jpg/revision/latest?cb=20210705011922,Female,28,"December 1, 1995",Civil Servant – Operations Lead for Department of Transport,"Oxford, England",,,Day 1,Day 19,Dumped
220,Brad McClelland,https://static.wikia.nocookie.net/loveisland/images/9/9d/S7_Brad_McClelland.jpg/revision/latest?cb=20210705014156,Male,28,"June 10, 1995",Labourer,"Northumberland, England",,,Day 1,Day 16,Dumped
221,Rachel Finni,https://static.wikia.nocookie.net/loveisland/images/0/05/S7_Rachel_Finni.jpg/revision/latest?cb=20210705010538,Female,32,"April 25, 1992",Luxury travel specialist,"Cockfosters, England",,,Day 5,Day 14,Dumped
222,Oliver Wallis,https://static.wikia.nocookie.net/loveisland/images/d/d2/S7_Chuggs_Wallis.jpg/revision/latest?cb=20210705015847,Male,26,"April 3, 1998",Business owner,"Surrey, England",,,Day 4,Day 6,Dumped
223,Shannon Singh,https://static.wikia.nocookie.net/loveisland/images/d/da/S7_Shannon_Singh.jpg/revision/latest?cb=20210705012638,Female,25,"July 7, 1998",Model,"Fife, Scotland",,,Day 1,Day 2,Dumped
224,Davide Sanclimenti,https://static.wikia.nocookie.net/loveisland/images/1/14/S8_Davide_Sanclimenti.jpg/revision/latest?cb=20220622195428,Male,29,"January 1, 1995",Business Owner,"Manchester, England",,,Day 1,Day 58,Winner
225,Ekin-Su Cülcüloğlu,https://static.wikia.nocookie.net/loveisland/images/6/61/S8_Ekin-Su_C%C3%BClc%C3%BClo%C4%9Flu.jpg/revision/latest?cb=20220622193123,Female,29,"August 21, 1994",Actress,"Essex, England",,,Day 3,Day 58,Winner
226,Gemma Owen,https://static.wikia.nocookie.net/loveisland/images/4/47/S8_Gemma_Owen.jpg/revision/latest?cb=20220622193220,Female,20,"May 1, 2003",International Dressage Rider and Business Owner,"Chester, England",,,Day 1,Day 58,Runner-Up
227,Luca Bish,https://static.wikia.nocookie.net/loveisland/images/3/37/S8_Luca_Bish.jpg/revision/latest?cb=20220622200002,Male,24,"May 14, 1999",Fishmonger,"Brighton, England",,,Day 1,Day 58,Runner-Up
228,Dami Hope,https://static.wikia.nocookie.net/loveisland/images/1/11/S8_Dami_Hope.jpg/revision/latest?cb=20220622213157,Male,28,"March 27, 1996",Senior Microbiologist,"Dublin, Ireland",,,Day 1,Day 58,3rd Place
229,Indiyah Polack,https://static.wikia.nocookie.net/loveisland/images/3/34/S8_Indiyah_Polack.jpg/revision/latest?cb=20220622195947,Female,25,"December 11, 1998",Waitress and Model,"London, England",,,Day 1,Day 58,3rd Place
230,Andrew Le Page,https://static.wikia.nocookie.net/loveisland/images/d/d9/S8_Andrew_Le_Page.jpg/revision/latest?cb=20220622195833,Male,29,"March 8, 1995",Real Estate Agent,"Guernsey, British Isles",,,Day 1,Day 58,4th Place
231,Tasha Ghouri,https://static.wikia.nocookie.net/loveisland/images/8/8d/S8_Tasha_Ghouri.jpg/revision/latest?cb=20220622200146,Female,25,"August 11, 1998",Model and Dancer,"Thirsk, England",,,Day 1,Day 58,4th Place
232,Adam Collard,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Adam_Collard.jpg/revision/latest?cb=20220710222545,Male,28,"October 27, 1995",Personal Trainer,"Newcastle, England",,,Day 1,Day 32,Dumped
233,Paige Thorne,https://static.wikia.nocookie.net/loveisland/images/7/75/S8_Paige_Thorne.jpg/revision/latest?cb=20220622213144,Female,26,"September 14, 1997",Paramedia,"Swansea, Wales",,,Day 1,Day 56,Participating
234,Danica Taylor,https://static.wikia.nocookie.net/loveisland/images/5/54/S8_Danica_Taylor.jpg/revision/latest?cb=20220622030208,Female,23,"April 13, 2001",Dancer,"Leicester, England",,,Day 12,Day 51,Dumped
235,Jamie Allen,https://static.wikia.nocookie.net/loveisland/images/2/21/S8_Jamie_Allen.jpg/revision/latest?cb=20220720151017,Male,28,"May 25, 1995",Footballer,"Preston, England",,,Day 45,Day 51,Dumped
236,Deji Adeniyi,https://static.wikia.nocookie.net/loveisland/images/9/98/S8_Deji_Adeniyi.jpg/revision/latest?cb=20220701221204,Male,27,"November 14, 1996",Accounts Manager,"Bedford, England",,,Day 26,Day 49,Dumped
237,Lacey Edwards,https://static.wikia.nocookie.net/loveisland/images/8/83/S8_Lacey_Edwards.jpg/revision/latest?cb=20220720151038,Female,27,"November 9, 1996",,"Swindon, England",,,Day 45,Day 49,Dumped
238,Nathalia Campos,https://static.wikia.nocookie.net/loveisland/images/0/07/S8_Nathalia_Campos.jpg/revision/latest?cb=20220720151058,Female,24,"October 14, 1999",Operations Manager,"London, England",,,Day 44,Day 49,Dumped
239,Reece Ford,https://static.wikia.nocookie.net/loveisland/images/8/82/S8_Reece_Ford.jpg/revision/latest?cb=20220720151112,Male,23,"November 28, 1998",Model,"Coventry, England",,,Day 45,Day 49,Dumped
240,Billy Brown,https://static.wikia.nocookie.net/loveisland/images/6/66/S8_Billy_Brown.jpg/revision/latest?cb=20220701221139,Male,24,"May 9, 1999",Roofing Company Director,"Surrey, England",,,Day 26,Day 44,Dumped
241,Summer Botwe,https://static.wikia.nocookie.net/loveisland/images/9/96/S8_Summer_Botwe.jpg/revision/latest?cb=20220703141733,Female,24,"March 15, 2000",Business Owner,"Hertfordshire, England",,,Day 27,Day 44,Dumped
242,Coco Lodge,https://static.wikia.nocookie.net/loveisland/images/3/32/S8_Coco_Lodge.jpg/revision/latest?cb=20220703141623,Female,29,"January 7, 1995",Graphic Designer,"Guildford, England",,,Day 27,Day 39,Dumped
243,Josh Le Grove,https://static.wikia.nocookie.net/loveisland/images/d/dd/S8_Josh_Le_Grove.jpg/revision/latest?cb=20220701221346,Male,24,"October 2, 1999",Model,"Essex, England",,,Day 26,Day 39,Dumped
244,Jacques O'Neill,https://static.wikia.nocookie.net/loveisland/images/7/7c/S8_Jacques_O%27Neill.jpg/revision/latest?cb=20220622213127,Male,24,"May 8, 1999",Professional Rugby League Player,"Cumbria, England",,,Day 7,Day 37,Walked
245,Chyna Mills,https://static.wikia.nocookie.net/loveisland/images/7/71/S8_Chyna_Mills.jpg/revision/latest?cb=20220703141607,Female,25,"November 24, 1998",Youth Support Worker,"Southampton, England",Neil Jones (fiancé),"Havana (daughter, b. 2023)",Day 27,Day 35,Dumped
246,Jay Younger,https://static.wikia.nocookie.net/loveisland/images/9/91/S8_Jay_Younger.jpg/revision/latest?cb=20220614142451,Male,30,"November 8, 1993",Investment Analyst,"Edinburgh, Scotland",,,Day 9,Day 35,Dumped
247,Cheyanne Kerr,https://static.wikia.nocookie.net/loveisland/images/2/25/S8_Cheyanne_Kerr.jpg/revision/latest?cb=20220703141547,Female,25,"September 6, 1998",Cabin Crew Employee,"Barnsley, England",,,Day 27,Day 31,Dumped
248,George Tasker,https://static.wikia.nocookie.net/loveisland/images/e/e9/S8_George_Tasker.jpg/revision/latest?cb=20220701221228,Male,25,"July 7, 1998",Labourer,"Cotswolds, England",,,Day 26,Day 31,Dumped
249,Jack Keating,https://static.wikia.nocookie.net/loveisland/images/6/69/S8_Jack_Keating.jpg/revision/latest?cb=20220701221316,Male,25,"March 15, 1999",Social Media Marketing,"Dublin, Ireland",,"Maya (daughter, b. 2023)",Day 26,Day 31,Dumped
250,Jazmine Nichol,https://static.wikia.nocookie.net/loveisland/images/8/80/S8_Jazmine_Nichol.jpg/revision/latest?cb=20220703141652,Female,23,"October 28, 2000",Nightclub Manager,"Newcastle, England",,,Day 27,Day 31,Dumped
251,Mollie Salmon,https://static.wikia.nocookie.net/loveisland/images/9/97/S8_Mollie_Salmon.jpg/revision/latest?cb=20220703141708,Female,,,Make-Up Artist,"Southampton, England",,,Day 27,Day 31,Dumped
252,Samuel Agbiji,https://static.wikia.nocookie.net/loveisland/images/5/52/S8_Samuel_Agbiji.jpg/revision/latest?cb=20220701221421,Male,23,"May 25, 2000",Model,"Manchester, England",,,Day 26,Day 31,Dumped
253,Antigoni Buxton,https://static.wikia.nocookie.net/loveisland/images/2/28/S8_Antigoni_Buxton.jpg/revision/latest?cb=20220622213042,Female,28,"March 9, 1996",Singer,"London, England",,,Day 17,Day 25,Dumped
254,Charlie Radnedge,https://static.wikia.nocookie.net/loveisland/images/3/39/S8_Charlie_Radnedge.jpg/revision/latest?cb=20220622213242,Male,30,"February 4, 1994",Real Estate Agent,"London, England",,,Day 17,Day 25,Dumped
255,Amber Beckford,https://static.wikia.nocookie.net/loveisland/images/5/5f/S8_Amber_Beckford.jpg/revision/latest?cb=20220622194900,Female,25,"May 29, 1998",Nanny,"London, England",,,Day 1,Day 15,Dumped
256,Ikenna Ekwonna,https://static.wikia.nocookie.net/loveisland/images/6/6c/S8_Ikenna_Ekwonna.jpg/revision/latest?cb=20220622200224,Male,25,"February 22, 1999",Pharmaceutical Sales,"Nottingham, England",,,Day 1,Day 15,Dumped
257,Remi Lambert,https://static.wikia.nocookie.net/loveisland/images/4/42/S8_Remi_Lambert.jpg/revision/latest?cb=20220614142508,Male,24,"March 2, 2000",Model,"Manchester, England",,,Day 9,Day 12,Dumped
258,Afia Tonkmor,https://static.wikia.nocookie.net/loveisland/images/d/df/S8_Afia_Tonkmor.jpg/revision/latest?cb=20220622194214,Female,27,"August 8, 1996",Lounge Host,"London, England",,,Day 3,Day 8,Dumped
259,Liam Llewellyn,https://static.wikia.nocookie.net/loveisland/images/6/69/S8_Liam_Llewellyn.jpg/revision/latest?cb=20220622195116,Male,24,"July 25, 1999",Student,"Newport, South Wales",,,Day 1,Day 5,Walked
260,Kai Fagan,https://static.wikia.nocookie.net/loveisland/images/1/15/S9_Kai_Fagan.jpg/revision/latest?cb=20230109224431,Male,25,"June 21, 1998",Science and PE teacher,"Manchester, England",,,Day 1,Day 58,Winner
261,Sanam Harrinanan,https://static.wikia.nocookie.net/loveisland/images/0/0f/S9_Sanam_Harrinanan.jpg/revision/latest?cb=20230212001405,Female,25,"May 17, 1998",Social Worker,"Bedford, England",,,Day 29,Day 58,Winner
262,Lana Jenkins,https://static.wikia.nocookie.net/loveisland/images/f/f8/S9_Lana_Jenkins.jpg/revision/latest?cb=20230109224433,Female,26,"November 9, 1997",Makeup artist,"Luton, England",,,Day 1,Day 58,Runner-Up
263,Ron Hall,https://static.wikia.nocookie.net/loveisland/images/c/ca/S9_Ron_Hall.jpg/revision/latest?cb=20230614152853,Male,26,"August 20, 1997",Financial advisor,"Essex, England",,,Day 1,Day 58,Runner-Up
264,Samie Elishi,https://static.wikia.nocookie.net/loveisland/images/d/db/S9_Samie_Elishi.jpg/revision/latest?cb=20230130150329,Female,24,"February 15, 2000",Senior estate agent coordinator,"London, England",,,Day 14,Day 58,3rd Place
265,Tom Clare,https://static.wikia.nocookie.net/loveisland/images/3/3b/All_Stars_Tom_Clare.jpg/revision/latest?cb=20240126181311,Male,24,"September 2, 1999",Semi-professional footballer,"Barnsley, England",,,Day 1,Day 58,3rd Place
266,Shaq Muhammad,https://static.wikia.nocookie.net/loveisland/images/5/58/S9_Shaq_Muhammad.jpg/revision/latest?cb=20230109224440,Male,26,"March 31, 1998",Airport security officer,"London, England",,,Day 1,Day 58,4th Place
267,Tanya Manhenga,https://static.wikia.nocookie.net/loveisland/images/7/70/S9_Tanya_Manhenga.jpg/revision/latest?cb=20230109224443,Female,24,"January 31, 2000",Student and influencer,"Liverpool, England",,,Day 1,Day 58,4th Place
268,Jessie Wynter,https://static.wikia.nocookie.net/loveisland/images/9/90/S9_Jessie_Wynter.jpg/revision/latest?cb=20230122164554,Female,27,"September 28, 1996",Personal TrainerInfluencerWaitress (former),"Tasmania, Australia",,,Day 1,Day 34,Dumped
269,Will Young,https://static.wikia.nocookie.net/loveisland/images/a/a6/S9_Will_Young.jpg/revision/latest?cb=20230109224449,Male,24,"September 3, 1999",Farmer,"Buckinghamshire, England",,,Day 1,Day 56,Dumped
270,Casey O'Gorman,https://static.wikia.nocookie.net/loveisland/images/3/38/All_Stars_Casey_O%27Gorman.jpg/revision/latest?cb=20240131215107,Male,27,"October 31, 1996",Recruitment Consultant,"Tring, England",,,Day 17,Day 51,Dumped
271,Rosie Seabrook,https://static.wikia.nocookie.net/loveisland/images/4/43/S9_Rosie_Seabrook.jpg/revision/latest?cb=20230301231158,Female,25,"July 23, 1998",Industry Placement Advisor,"Buckinghamshire, England",,,Day 39,Day 51,Dumped
272,Claudia Fogarty,https://static.wikia.nocookie.net/loveisland/images/8/8a/S9_Claudia_Fogarty.jpg/revision/latest?cb=20230209154352,Female,29,"August 9, 1994",Fashion boutique owner,"Blackburn, England",,,Day 23,Day 45,Dumped
273,Keanan Brand,https://static.wikia.nocookie.net/loveisland/images/8/89/S9_Keanan_Brand.jpg/revision/latest?cb=20230223230034,Male,25,"January 8, 1999",Pro rugby player,"Wigan, England",,,Day 39,Day 45,Dumped
274,Maxwell Samuda,https://static.wikia.nocookie.net/loveisland/images/0/0f/S9_Maxwell_Samuda.jpg/revision/latest?cb=20230212002212,Male,25,"April 16, 1999",Finance Student and Restaurant Host,"London, England",,,Day 28,Day 45,Dumped
275,Olivia Hawkins,https://static.wikia.nocookie.net/loveisland/images/0/0b/S9_Olivia_Hawkins.jpg/revision/latest?cb=20230109224436,Female,28,"June 20, 1995",Ring girl and actress,"Brighton, England",,,Day 1,Day 45,Dumped
276,Martin Akinola,https://static.wikia.nocookie.net/loveisland/images/d/da/S9_Martin_Akinola.jpg/revision/latest?cb=20230212002211,Male,28,"December 14, 1995",Senior Software Engineer,"Dublin, Ireland",,,Day 28,Day 40,Dumped
277,Bayley Mummery,https://static.wikia.nocookie.net/loveisland/images/4/4a/S9_Bayley_Mummery.jpg/revision/latest?cb=20230212002200,Male,26,"July 3, 1997",Operations Manager,"Surrey, England",,,Day 28,Day 32,Dumped
278,Cynthia Otseh-Taiwo,https://static.wikia.nocookie.net/loveisland/images/d/d2/S9_Cynthia_Otseh-Taiwo.jpg/revision/latest?cb=20230212002202,Female,26,"August 24, 1997",Dental Receptionist and Baker,"North London, England",,,Day 29,Day 32,Dumped
279,Frankie Davey,https://static.wikia.nocookie.net/loveisland/images/3/3c/S9_Frankie_Davey.jpg/revision/latest?cb=20230212002204,Male,23,"December 24, 2000",Pro Boxer,"Ipswich, England",,,Day 28,Day 32,Dumped
280,Kain Reed,https://static.wikia.nocookie.net/loveisland/images/e/e5/S9_Kain_Reed.jpg/revision/latest?cb=20230212002205,Male,22,"November 28, 2001",Energy Consultant,"Gateshead, England",,,Day 28,Day 32,Dumped
281,Layla Al-Momani,https://static.wikia.nocookie.net/loveisland/images/5/58/S9_Layla_Al-Momani.jpg/revision/latest?cb=20230212002206,Female,29,"November 9, 1994",Brand Managing Director,"Kingston, England",,,Day 29,Day 32,Dumped
282,Lydia Karakyriakou,https://static.wikia.nocookie.net/loveisland/images/5/52/S9_Lydia_Karakyriakou.jpg/revision/latest?cb=20230212002455,Female,23,"July 25, 2000",Retail Customer Assistant,"Glasgow, Scotland",,,Day 29,Day 32,Dumped
283,Lynda Flix,https://static.wikia.nocookie.net/loveisland/images/2/24/S9_Lynda_Flix.jpg/revision/latest?cb=20230212002209,Female,23,"June 20, 2000",Healthcare Assistant and Singer,"Salford, England",,,Day 29,Day 32,Dumped
284,Ryan Weekley,https://static.wikia.nocookie.net/loveisland/images/a/a9/S9_Ryan_Weekley.jpg/revision/latest?cb=20230212002214,Male,23,"November 8, 2000",Steel Erector,"Nottingham, England",,,Day 28,Day 32,Dumped
285,Sammy James,https://static.wikia.nocookie.net/loveisland/images/1/1d/S9_Sammy_James.jpg/revision/latest?cb=20230212002215,Female,28,April 1995,Beauty Buyer,"Leicester, England",,,Day 29,Day 32,Dumped
286,Ellie Spence,https://static.wikia.nocookie.net/loveisland/images/9/90/S9_Ellie_Spence.jpg/revision/latest?cb=20230112194500,Female,26,"November 28, 1997",Business Development Executive,"Norwich, England",,,Day 10,Day 26,Dumped
287,Jordan Odofin,https://static.wikia.nocookie.net/loveisland/images/d/d8/S9_Jordan_Odofin.jpg/revision/latest?cb=20230212000458,Male,29,"May 14, 1994",Senior HR Advisor,"London, England",,,Day 17,Day 26,Dumped
288,Tanyel Revan,https://static.wikia.nocookie.net/loveisland/images/5/54/S9_Tanyel_Revan.jpg/revision/latest?cb=20230109224446,Female,27,"May 16, 1996",Hair Stylist,"North London, England",,,Day 1,Day 24,Dumped
289,Aaron Waters,https://static.wikia.nocookie.net/loveisland/images/4/46/S9_Aaron_Waters.jpg/revision/latest?cb=20230122164553,Male,26,"September 12, 1997",Model,"Perth, Western Australia",,,Day 1,Day 45,Runner-Up
290,Spencer Wilks,https://static.wikia.nocookie.net/loveisland/images/8/86/S9_Spencer_Wilks.jpg/revision/latest?cb=20230130150342,Male,24,,E-Commerce Business Owner,"Bournemouth, England",,,Day 10,Day 19,Dumped
291,Zara Lackenby-Brown,https://static.wikia.nocookie.net/loveisland/images/a/a7/S9_Zara_Lackenby-Brown.jpg/revision/latest?cb=20230118175558,Female,26,"August 12, 1997",Model,"London, England",,,Day 3,Day 16,Dumped
292,Anna-May Robey,https://static.wikia.nocookie.net/loveisland/images/1/10/S9_Anna-May_Robey.jpg/revision/latest?cb=20230109224428,Female,21,"May 12, 2002",Payroll administrator,"Swansea, Wales",,,Day 1,Day 9,Dumped
293,Haris Namani,https://static.wikia.nocookie.net/loveisland/images/2/20/S9_Haris_Namani.jpg/revision/latest?cb=20230109224430,Male,22,"December 16, 2001",TV Salesman,"Doncaster, England",,,Day 1,Day 9,Dumped
294,David Salako,https://static.wikia.nocookie.net/loveisland/images/2/2d/S9_David_Salako.jpg/revision/latest?cb=20230118175551,Male,26,"February 13, 1998",Money Adviser,"Essex, England",,,Day 3,Day 5,Dumped
295,Jess Harding,https://static.wikia.nocookie.net/loveisland/images/1/1c/S10_Jess_Harding.jpg/revision/latest?cb=20230612134030,Female,23,"September 12, 2000",Aesthetics Practitioner,"London, England",,,Day 1,Day 58,Winner
296,Sammy Root,https://static.wikia.nocookie.net/loveisland/images/4/40/S10_Sammy_Root.jpg/revision/latest?cb=20230612090524,Male,22,,Project Manager,"Kent, England",,,Day 4,Day 58,Winner
297,Lochan Nowacki,https://static.wikia.nocookie.net/loveisland/images/e/ec/S10_Lochan_Nowacki.jpg/revision/latest?cb=20230705181912,Male,25,,Account Manager,"Windsor, England",,,Day 26,Day 58,Runner-Up
298,Whitney Adebayo,https://static.wikia.nocookie.net/loveisland/images/1/14/S10_Whitney_Adebayo.jpg/revision/latest?cb=20230612134017,Female,26,"November 20, 1997",Entrepreneur,"London, England",,,Day 3,Day 58,Runner-Up
299,Ella Thomas,https://static.wikia.nocookie.net/loveisland/images/6/6b/S10_Ella_Thomas.jpg/revision/latest?cb=20230529135033,Female,24,"April 23, 2000",Model,"Glasgow, Scotland",,,Day 1,Day 58,3rd Place
300,Tyrique Hyde,https://static.wikia.nocookie.net/loveisland/images/7/78/S10_Tyrique_Hyde.jpg/revision/latest?cb=20230612133928,Male,25,"April 8, 1999",Semi-Professional Footballer,"Essex, England",,,Day 1,Day 58,3rd Place
301,Molly Marsh,https://static.wikia.nocookie.net/loveisland/images/a/a5/S10_Molly_Marsh.jpg/revision/latest?cb=20230529135034,Female,22,"August 26, 2001",Musical theatre performerSocial Media creator,"Doncaster, England",,,Day 1Day 27 (re-entered),Day 19Day 58,4th Place
302,Zachariah Noble,https://static.wikia.nocookie.net/loveisland/images/1/10/S10_Zachariah_Noble.jpg/revision/latest?cb=20230606102349,Male,26,"June 13, 1997",Personal TrainerBasketball Player,"London, England",,,Day 1,Day 58,4th Place
303,Ella Barnes,https://static.wikia.nocookie.net/loveisland/images/c/ca/S10_Ella_Barnes.jpg/revision/latest?cb=20230714194152,Female,24,"September 20, 1999",Championship DancerModel,"Kent, England",,,Day 39,Day 56,Dumped
304,Mitchel Taylor,https://static.wikia.nocookie.net/loveisland/images/b/bb/All_Stars_Mitchel_Taylor.jpg/revision/latest?cb=20240118211848,Male,27,"June 10, 1996",Gas engineer,"Sheffield, England",,,Day 1,Day 56,Dumped
305,Abi Moores,https://static.wikia.nocookie.net/loveisland/images/3/3b/S10_Abi_Moores.jpg/revision/latest?cb=20230705181858,Female,26,"April 2, 1998",Flight Attendant,"Hampshire, England",,,Day 27,Day 52,Dumped
306,Scott van-der-Sluis,https://static.wikia.nocookie.net/loveisland/images/e/ed/LIG_Scott_van-der-Sluis.jpg/revision/latest?cb=20240104001812,Male,23,"January 9, 2001",Professional Footballer,"Connah's Quay, Wales",,,Day 11,Day 52,Dumped
307,Amber Wise,https://static.wikia.nocookie.net/loveisland/images/4/40/S10_Amber_Wise.jpg/revision/latest?cb=20230705181900,Female,20,"January 28, 2004",Graphic Design Student,"Kensington, England",,,Day 27,Day 44,Dumped
308,Josh Brocklebank,https://static.wikia.nocookie.net/loveisland/images/0/01/S10_Josh_Brocklebank.jpg/revision/latest?cb=20230714194154,Male,27,"November 28, 1996",Financial Advisor,"Essex, England",,,Day 39,Day 44,Dumped
309,Kady McDermott,https://static.wikia.nocookie.net/loveisland/images/0/0f/S10_Kady_McDermott.jpg/revision/latest?cb=20230626083806,Female,28,"September 4, 1995",Make-up Artist,"Stevenage, England",,,Day 3,Day 45,3rd Place
310,Ouzy See,https://static.wikia.nocookie.net/loveisland/images/1/1b/S10_Ouzy_See.jpg/revision/latest?cb=20230705181915,Male,29,"August 25, 1994",ModelFootballerTradesman,"Edinburgh, Scotland",,,Day 26,Day 44,Dumped
311,Catherine Agbaje,https://static.wikia.nocookie.net/loveisland/images/7/70/S10_Catherine_Agbaje.jpg/revision/latest?cb=20230529135031,Female,23,"June 23, 2000",Commercial real estate agent,"Dublin, Ireland",,,Day 1,Day 38,Dumped
312,Elom Ahlijah-Wilson,https://static.wikia.nocookie.net/loveisland/images/b/bd/S10_Elom_Ahlijah-Wilson.jpg/revision/latest?cb=20230705181906,Male,23,"March 14, 2001",MasseuseFitness Trainer,"London, England",,,Day 26,Day 38,Dumped
313,Leah Taylor,https://static.wikia.nocookie.net/loveisland/images/1/1f/S10_Leah_Taylor.jpg/revision/latest?cb=20230612134004,Female,28,"January 30, 1996",Business Owner,"Manchester, England",,,Day 8,Day 38,Dumped
314,Montel McKenzie,https://static.wikia.nocookie.net/loveisland/images/e/e2/S10_Montel_McKenzie.jpg/revision/latest?cb=20230620222510,Male,26,"December 31, 1997",Account ManagerSemi-professional footballer,"London, England",,,Day 16,Day 38,Dumped
315,Benjamin Noel,https://static.wikia.nocookie.net/loveisland/images/e/e3/S10_Benjamin_Noel.jpg/revision/latest?cb=20230705181902,Male,27,"October 5, 1996",Fitness Business Owner,"London, England",,,Day 26,Day 31,Dumped
316,Danielle Mazhindu,https://static.wikia.nocookie.net/loveisland/images/7/7c/S10_Danielle_Mazhindu.jpg/revision/latest?cb=20230705181904,Female,26,"February 12, 1998",Recruitment AssistantOccupational Therapy Student,"Liverpool, England",,,Day 27,Day 31,Dumped
317,Gabby Jeffery,https://static.wikia.nocookie.net/loveisland/images/6/6e/S10_Gabby_Jeffery.jpg/revision/latest?cb=20230705181907,Female,25,"September 13, 1998",Creative Assistant,"Tyneside, England",,,Day 27,Day 31,Dumped
318,Kodie Murphy,https://static.wikia.nocookie.net/loveisland/images/1/11/S10_Kodie_Murphy.jpg/revision/latest?cb=20230705181911,Male,,,Social Media Marketer,"Birmingham, England",,,Day 26,Day 31,Dumped
319,Tink Reading,https://static.wikia.nocookie.net/loveisland/images/9/9f/S10_Tink_Reading.jpg/revision/latest?cb=20230705181917,Female,26,"May 24, 1997",Project Manager,"Birmingham, England",,,Day 27,Day 31,Dumped
320,Zachary Ashford,https://static.wikia.nocookie.net/loveisland/images/6/65/S10_Zachary_Ashford.jpg/revision/latest?cb=20230705181918,Male,28,"November 9, 1995",Senior Sales Executive,"Manchester, England",,,Day 26,Day 31,Dumped
321,Mal Nicol,https://static.wikia.nocookie.net/loveisland/images/e/e5/S10_Malissa_Nicol.jpg/revision/latest?cb=20230620222529,Female,26,"September 10, 1997",Picture researcher,"Edinburgh, Scotland",,,Day 16,Day 23,Dumped
322,Mehdi Edno,https://static.wikia.nocookie.net/loveisland/images/f/fb/S10_Mehdi_Edno.jpg/revision/latest?cb=20230612133905,Male,26,,Communications manager,"London, EnglandBordeaux, France",,,Day 1,Day 23,Dumped
323,André Furtado,https://static.wikia.nocookie.net/loveisland/images/b/b6/S10_Andre_Furtado.jpg/revision/latest?cb=20230529135029,Male,21,"May 15, 2002",Business owner,"Birmingham, England",,,Day 1,Day 12,Dumped
324,Charlotte Sumner,https://static.wikia.nocookie.net/loveisland/images/a/a3/S10_Charlotte_Sumner.jpg/revision/latest?cb=20230612133941,Female,30,"May 31, 1993",Dental Nurse,"Bournemouth, England",,,Day 8,Day 12,Dumped
325,Ruchee Gurung,https://static.wikia.nocookie.net/loveisland/images/5/59/S10_Ruchee_Gurung.jpg/revision/latest?cb=20230529135059,Female,25,"September 5, 1998",Beautician,"Sutton, England",,,Day 1,Day 9,Dumped
326,George Fensom,https://static.wikia.nocookie.net/loveisland/images/e/ea/S10_George_Fensom.jpg/revision/latest?cb=20230612133951,Male,24,,Business development executive,"Bedford, England",,,Day 1,Day 5,Dumped
